year,石炭,石油,天然ガス,水力,原子力,薪炭,再エネ,,CO2（百万トン）,,modern_energy_rate
1880,567,553,0,0,0,"3,495",0,,22,,0.2426868906
1881,602,308,0,0,0,"3,235",0,,23,,0.2195416164
1882,596,728,0,0,0,"3,115",0,,24,,0.2982653751
1883,639,84,0,0,0,"2,878",0,,26,,0.2007775618
1884,715,644,0,0,0,"2,710",0,,28,,0.333988695
1885,816,651,0,0,0,"3,218",0,,32,,0.3131270011
1886,865,91,0,0,0,"3,847",0,,34,,0.1990422653
1887,"1,100",756,0,0,0,"3,557",0,,42,,0.3428782561
1888,"1,267",109,0,0,0,"3,606",0,,49,,0.2761942995
1889,"1,497",132,0,0,0,"3,427",0,,58,,0.3221914557
1890,"1,639",153,0,0,0,"4,185",0,,64,,0.2998159612
1891,"1,996",146,0,0,0,"3,815",0,,77,,0.3595769683
1892,"1,994",123,0,0,0,"4,015",0,,76,,0.3452380952
1893,"2,079",184,0,0,0,"4,127",0,,81,,0.3541471049
1894,"2,694",214,0,0,0,"4,698",0,,104,,0.3823297397
1895,"3,032",175,0,0,0,"4,435",0,,115,,0.4196545407
1896,"3,172",222,0,0,0,"4,066",0,,122,,0.4549597855
1897,"3,291",248,0,0,0,"4,675",0,,127,,0.4308497687
1898,"4,215",279,0,0,0,"5,733",0,,161,,0.4394250513
1899,"4,238",262,0,0,0,"6,586",0,,162,,0.4059173733
1900,"4,713",366,0,0,0,"5,424",0,,182,,0.4835761211
1901,"5,671",410,0,0,0,"3,822",0,,218,,0.6140563466
1902,"6,116",412,0,0,0,"3,940",0,,234,,0.6236148261
1903,"6,390",393,0,213,0,"3,234",0,,244,,0.6838709677
1904,"7,142",468,0,273,0,"3,322",0,,273,,0.703525212
1905,"7,424",411,0,308,0,"3,137",0,,282,,0.7218971631
1906,"8,128",448,0,415,0,"3,508",0,,309,,0.719337547
1907,"8,641",508,0,64,0,"3,385",0,,329,,0.7313065566
1908,"9,288",536,0,100,0,"3,371",0,,353,,0.7464460323
1909,"9,487",503,0,122,0,"3,604",0,,36,,0.7372411782
1910,"9,923",537,0,186,0,"3,167",0,,377,,0.7707232317
