year,石炭,石油,天然ガス,水力,原子力,薪炭,再エネ,Unnamed: 8,CO2（百万トン）,Unnamed: 10,modern_energy_rate,modern_energy_rate_norm
1880,567.0,553.0,0.0,0.0,0.0,3495.0,0.0,,22.0,,0.2426868906,0.2426949205012177
1881,602.0,308.0,0.0,0.0,0.0,3235.0,0.0,,23.0,,0.2195416164,0.21954888048207918
1882,596.0,728.0,0.0,0.0,0.0,3115.0,0.0,,24.0,,0.2982653751,0.29827524395403154
1883,639.0,84.0,0.0,0.0,0.0,2878.0,0.0,,26.0,,0.2007775618,0.2007842050265212
1884,715.0,644.0,0.0,0.0,0.0,2710.0,0.0,,28.0,,0.333988695,0.33399974584919107
1885,816.0,651.0,0.0,0.0,0.0,3218.0,0.0,,32.0,,0.3131270011,0.31313736168800377
1886,865.0,91.0,0.0,0.0,0.0,3847.0,0.0,,34.0,,0.1990422653,0.19904885110990736
1887,1100.0,756.0,0.0,0.0,0.0,3557.0,0.0,,42.0,,0.3428782561,0.3428896010824973
1888,1267.0,109.0,0.0,0.0,0.0,3606.0,0.0,,49.0,,0.2761942995,0.27620343807743364
1889,1497.0,132.0,0.0,0.0,0.0,3427.0,0.0,,58.0,,0.3221914557,0.32220211620809774
1890,1639.0,153.0,0.0,0.0,0.0,4185.0,0.0,,64.0,,0.2998159612,0.299825881359041
1891,1996.0,146.0,0.0,0.0,0.0,3815.0,0.0,,77.0,,0.3595769683,0.3595888658010495
1892,1994.0,123.0,0.0,0.0,0.0,4015.0,0.0,,76.0,,0.3452380952,0.34524951826366107
1893,2079.0,184.0,0.0,0.0,0.0,4127.0,0.0,,81.0,,0.3541471049,0.3541588227404727
1894,2694.0,214.0,0.0,0.0,0.0,4698.0,0.0,,104.0,,0.3823297397,0.3823423900332536
1895,3032.0,175.0,0.0,0.0,0.0,4435.0,0.0,,115.0,,0.4196545407,0.4196684260174106
1896,3172.0,222.0,0.0,0.0,0.0,4066.0,0.0,,122.0,,0.4549597855,0.4549748389795124
1897,3291.0,248.0,0.0,0.0,0.0,4675.0,0.0,,127.0,,0.4308497687,0.43086402443945826
1898,4215.0,279.0,0.0,0.0,0.0,5733.0,0.0,,161.0,,0.4394250513,0.4394395907740762
1899,4238.0,262.0,0.0,0.0,0.0,6586.0,0.0,,162.0,,0.4059173733,0.4059308040889564
1900,4713.0,366.0,0.0,0.0,0.0,5424.0,0.0,,182.0,,0.4835761211,0.4835921214223662
1901,5671.0,410.0,0.0,0.0,0.0,3822.0,0.0,,218.0,,0.6140563466,0.6140766641861419
1902,6116.0,412.0,0.0,0.0,0.0,3940.0,0.0,,234.0,,0.6236148261,0.6236354599522821
1903,6390.0,393.0,0.0,213.0,0.0,3234.0,0.0,,244.0,,0.6838709677,0.6838935952770507
1904,7142.0,468.0,0.0,273.0,0.0,3322.0,0.0,,273.0,,0.703525212,0.7035484898867558
1905,7424.0,411.0,0.0,308.0,0.0,3137.0,0.0,,282.0,,0.7218971631,0.7219210488685912
1906,8128.0,448.0,0.0,415.0,0.0,3508.0,0.0,,309.0,,0.719337547,0.719361348077307
1907,8641.0,508.0,0.0,64.0,0.0,3385.0,0.0,,329.0,,0.7313065566,0.7313307537018493
1908,9288.0,536.0,0.0,100.0,0.0,3371.0,0.0,,353.0,,0.7464460323,0.7464707303291719
1909,9487.0,503.0,0.0,122.0,0.0,3604.0,0.0,,36.0,,0.7372411782,0.7372655716636103
1910,9923.0,537.0,0.0,186.0,0.0,3167.0,0.0,,377.0,,0.7707232317,0.7707487330008795
1911,11150.0,552.0,0.0,238.0,0.0,3044.0,0.0,,422.0,,0.7968499733,0.7968763390693049
1912,12493.0,501.0,0.0,268.0,0.0,3194.0,0.0,,47.0,,0.8059066602,0.8059333256323852
1913,13729.0,506.0,0.0,534.0,0.0,3604.0,0.0,,515.0,,0.8038425951,0.8038691922376421
1914,14608.0,580.0,14.0,640.0,0.0,3194.0,0.0,,549.0,,0.8322126497,0.8322401855316746
1915,13241.0,628.0,7.0,747.0,0.0,2694.0,0.0,,50.0,,0.8444303286,0.8444582686840609
1916,14706.0,575.0,14.0,780.0,0.0,2976.0,0.0,,552.0,,0.8437877277,0.843815646522007
1917,17151.0,550.0,112.0,847.0,0.0,3617.0,0.0,,641.0,,0.8376352292,0.8376629444512452
1918,17952.0,507.0,203.0,992.0,0.0,3986.0,0.0,,669.0,,0.8313874788,0.8314149873288367
1919,20042.0,524.0,238.0,1179.0,0.0,5924.0,0.0,,746.0,,0.7877235102,0.7877495739975051
1920,18845.0,539.0,301.0,1370.0,0.0,3467.0,0.0,,703.0,,0.8586167523,0.8586451617772807
1921,16941.0,530.0,266.0,1519.0,0.0,4477.0,0.0,,633.0,,0.8113597101,0.8113865559601451
1922,18145.0,608.0,21.0,1776.0,0.0,3917.0,0.0,,679.0,,0.8399068133,0.8399346037122724
1923,19292.0,672.0,245.0,2171.0,0.0,3508.0,0.0,,723.0,,0.8644932015,0.8645218054142626
1924,20228.0,822.0,21.0,2449.0,0.0,3167.0,0.0,,761.0,,0.8813279874,0.8813571483351527
1925,20900.0,892.0,161.0,3013.0,0.0,3140.0,0.0,,787.0,,0.8882800825,0.8883094734625627
1926,21328.0,947.0,175.0,3654.0,0.0,3604.0,0.0,,804.0,,0.8786858759,0.8787149494143023
1927,23111.0,1117.0,224.0,4181.0,0.0,3741.0,0.0,,874.0,,0.8844443072,0.8844735712463677
1928,23353.0,2029.0,217.0,4854.0,0.0,3699.0,0.0,,907.0,,0.8916900914,0.8917195951912144
1929,23931.0,2798.0,231.0,5186.0,0.0,3660.0,0.0,,949.0,,0.8977824946,0.8978121999735732
1930,21701.0,2116.0,343.0,5555.0,0.0,3658.0,0.0,,849.0,,0.8903904354,0.8904198961888532
