Year,Draught_Livestock,Population,Firewood,Wind,Water,Coal,Oil,Gas,Primary_Electricity,Modern
1560,0.333,0.22,0.338,0.003,0.008,0.128,0.128,0,0,0.128
1561,0.331,0.222,0.336,0.003,0.008,0.1,0.1,0,0,0.1
1562,0.329,0.224,0.334,0.003,0.008,0.101,0.101,0,0,0.101
1563,0.328,0.225,0.333,0.003,0.008,0.103,0.103,0,0,0.103
1564,0.327,0.226,0.332,0.003,0.008,0.104,0.104,0,0,0.104
1565,0.325,0.227,0.331,0.003,0.008,0.106,0.106,0,0,0.106
1566,0.323,0.228,0.329,0.003,0.008,0.107,0.107,0,0,0.107
1567,0.322,0.23,0.328,0.003,0.008,0.109,0.109,0,0,0.109
1568,0.32,0.232,0.327,0.003,0.008,0.11,0.11,0,0,0.11
1569,0.319,0.233,0.325,0.003,0.009,0.111,0.111,0,0,0.111
1570,0.317,0.234,0.324,0.003,0.009,0.113,0.113,0,0,0.113
1571,0.316,0.234,0.323,0.003,0.009,0.115,0.115,0,0,0.115
1572,0.315,0.235,0.322,0.003,0.009,0.116,0.116,0,0,0.116
1573,0.314,0.236,0.321,0.003,0.009,0.118,0.118,0,0,0.118
1574,0.312,0.236,0.32,0.003,0.009,0.119,0.119,0,0,0.119
1575,0.311,0.238,0.319,0.003,0.009,0.121,0.121,0,0,0.121
1576,0.309,0.239,0.317,0.003,0.009,0.123,0.123,0,0,0.123
1577,0.307,0.241,0.316,0.004,0.009,0.124,0.124,0,0,0.124
1578,0.306,0.242,0.314,0.004,0.009,0.126,0.126,0,0,0.126
1579,0.304,0.243,0.313,0.004,0.009,0.127,0.127,0,0,0.127
1580,0.302,0.245,0.311,0.004,0.009,0.129,0.129,0,0,0.129
1581,0.301,0.246,0.31,0.004,0.009,0.131,0.131,0,0,0.131
1582,0.299,0.247,0.308,0.004,0.009,0.132,0.132,0,0,0.132
1583,0.297,0.249,0.307,0.004,0.009,0.134,0.134,0,0,0.134
1584,0.296,0.251,0.305,0.004,0.009,0.136,0.136,0,0,0.136
1585,0.294,0.252,0.304,0.004,0.009,0.138,0.138,0,0,0.138
1586,0.293,0.253,0.302,0.004,0.009,0.139,0.139,0,0,0.139
1587,0.291,0.253,0.301,0.004,0.009,0.141,0.141,0,0,0.141
1588,0.291,0.252,0.301,0.004,0.009,0.143,0.143,0,0,0.143
1589,0.289,0.253,0.299,0.004,0.009,0.145,0.145,0,0,0.145
1590,0.287,0.255,0.298,0.004,0.009,0.147,0.147,0,0,0.147
1591,0.286,0.254,0.297,0.004,0.009,0.149,0.149,0,0,0.149
1592,0.285,0.254,0.296,0.004,0.009,0.151,0.151,0,0,0.151
1593,0.285,0.253,0.296,0.004,0.009,0.154,0.154,0,0,0.154
