Year,Modern
1560,0.128
1561,0.1
1562,0.101
1563,0.103
1564,0.104
1565,0.106
1566,0.107
1567,0.109
1568,0.11
1569,0.111
1570,0.113
1571,0.115
1572,0.116
1573,0.118
1574,0.119
1575,0.121
1576,0.123
1577,0.124
1578,0.126
1579,0.127
1580,0.129
1581,0.131
1582,0.132
1583,0.134
1584,0.136
1585,0.138
1586,0.139
1587,0.141
1588,0.143
1589,0.145
1590,0.147
1591,0.149
1592,0.151
1593,0.154
1594,0.156
1595,0.158
1596,0.16
1597,0.162
1598,0.165
1599,0.167
1600,0.168
1601,0.174
1602,0.177
1603,0.181
1604,0.184
1605,0.188
1606,0.192
1607,0.195
1608,0.199
1609,0.203
1610,0.207
1611,0.211
1612,0.216
1613,0.22
1614,0.224
1615,0.229
1616,0.233
1617,0.238
1618,0.243
1619,0.247
1620,0.251
1621,0.256
1622,0.26
1623,0.265
1624,0.27
1625,0.276
1626,0.277
1627,0.279
1628,0.279
1629,0.28
1630,0.281
1631,0.283
1632,0.284
1633,0.285
1634,0.286
1635,0.286
1636,0.288
1637,0.289
1638,0.291
1639,0.293
1640,0.295
1641,0.297
1642,0.3
1643,0.302
1644,0.305
1645,0.308
1646,0.31
1647,0.313
1648,0.315
1649,0.318
1650,0.321
1651,0.324
1652,0.326
1653,0.33
1654,0.333
1655,0.335
1656,0.338
1657,0.341
1658,0.345
1659,0.349
1660,0.353
1661,0.357
1662,0.361
1663,0.366
1664,0.37
1665,0.375
1666,0.38
1667,0.384
1668,0.389
1669,0.393
1670,0.398
1671,0.403
1672,0.408
1673,0.412
1674,0.416
1675,0.421
1676,0.426
1677,0.43
1678,0.434
1679,0.439
1680,0.445
1681,0.447
1682,0.45
1683,0.452
1684,0.454
1685,0.456
1686,0.458
1687,0.46
1688,0.461
1689,0.463
1690,0.465
1691,0.467
1692,0.469
1693,0.471
1694,0.473
1695,0.475
1696,0.478
1697,0.48
1698,0.479
1699,0.482
1700,0.486
1701,0.488
1702,0.492
1703,0.494
1704,0.496
1705,0.502
1706,0.501
1707,0.502
1708,0.504
1709,0.506
1710,0.508
1711,0.511
1712,0.519
1713,0.515
1714,0.515
1715,0.518
1716,0.52
1717,0.522
1718,0.524
1719,0.525
1720,0.528
1721,0.53
1722,0.533
