,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,5.833,19.378,6.212,,,,,,,31.423
1821,5.858,19.453,6.236,,,,,,,31.547
1822,5.884,19.527,6.26,,,,,,,31.672
1823,5.91,19.602,6.284,,,,,,,31.796
1824,5.937,19.677,6.308,,,,,,,31.922
1825,5.963,19.753,6.332,,,,,,,32.048
1826,5.989,19.828,6.357,,,,,,,32.174
1827,6.016,19.904,6.381,,,,,,,32.301
1828,6.042,19.981,6.405,,,,,,,32.428
1829,6.069,20.057,6.43,,,,,,,32.556
1830,6.096,20.134,6.455,,,,,,,32.684
1831,6.123,20.211,6.479,,,,,,,32.813
1832,6.15,20.289,6.504,,,,,,,32.943
1833,6.177,20.367,6.529,,,,,,,33.073
1834,6.204,20.445,6.554,,,,,,,33.203
1835,6.232,20.523,6.579,,,,,,,33.334
1836,6.259,20.602,6.604,,,,,,,33.465
1837,6.287,20.681,6.63,,,,,,,33.597
1838,6.315,20.76,6.655,,,,,,,33.73
1839,6.343,20.839,6.681,,,,,,,33.863
1840,6.371,20.919,6.706,,,,,,,33.996
1841,6.399,20.999,6.732,,,,,,,34.13
1842,6.427,21.08,6.758,,,,,,,34.265
1843,6.456,21.161,6.784,,,,,,,34.4
1844,6.484,21.242,6.81,,,,,,,34.536
1845,6.513,21.323,6.836,,,,,,,34.672
1846,6.542,21.405,6.862,,,,,,,34.809
1847,6.571,21.487,6.888,,,,,,,34.946
1848,6.6,21.569,6.915,,,,,,,35.084
1849,6.629,21.652,6.941,,,,,,,35.222
1850,6.658,21.735,6.968,,,,,,,35.361
1851,6.689,21.787,6.996,,,,,,,35.473
1852,6.72,21.84,7.024,,,,,,,35.584
1853,6.751,21.892,7.053,,,,,,,35.697
1854,6.783,21.945,7.082,,,,,,,35.809
1855,6.814,21.997,7.11,,,,,,,35.922
1856,6.846,22.05,7.139,,,,,,,36.035
1857,6.878,22.103,7.168,,,,,,,36.149
1858,6.91,22.156,7.197,,,,,,,36.263
1859,6.942,22.209,7.226,,,,,,,36.378
1860,6.974,22.263,7.256,,,,,,,36.493
