,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,54.76,108.294,34.895,2.065,,,,,,200.014
1821,54.934,108.648,35.009,2.074,,,,,,200.665
1822,55.109,109.002,35.123,2.084,,,,,,201.318
1823,55.284,109.358,35.237,2.093,,,,,,201.973
1824,55.46,109.715,35.352,2.102,,,,,,202.63
1825,55.637,110.073,35.468,2.112,,,,,,203.289
1826,55.814,110.432,35.583,2.121,,,,,,203.95
1827,55.991,110.792,35.7,2.131,,,,,,204.614
1828,56.17,111.154,35.816,2.14,,,,,,205.28
1829,56.348,111.516,35.933,2.15,,,,,,205.948
1830,56.528,111.88,36.05,2.16,,,,,,206.618
1831,56.708,112.245,36.168,2.164,,,,,,207.284
1832,56.888,112.611,36.286,2.168,,,,,,207.953
1833,57.069,112.979,36.404,2.172,,,,,,208.624
1834,57.251,113.348,36.523,2.176,,,,,,209.297
1835,57.433,113.717,36.642,2.18,,,,,,209.973
1836,57.616,114.088,36.762,2.184,,,,,,210.65
1837,57.799,114.461,36.882,2.188,,,,,,211.33
1838,57.983,114.834,37.002,2.192,,,,,,212.011
1839,58.168,115.209,37.123,2.196,,,,,,212.695
1840,58.353,115.585,37.244,2.2,,,,,,213.382
1841,58.539,115.962,37.365,2.204,,,,,,214.069
1842,58.725,116.34,37.487,2.207,,,,,,214.759
1843,58.912,116.72,37.61,2.21,,,,,,215.452
1844,59.099,117.101,37.732,2.214,,,,,,216.146
1845,59.287,117.483,37.855,2.217,,,,,,216.843
1846,59.476,117.866,37.979,2.22,,,,,,217.542
1847,59.665,118.251,38.103,2.224,,,,,,218.243
1848,59.855,118.636,38.227,2.227,,,,,,218.946
1849,60.046,119.024,38.352,2.23,,,,,,219.652
1850,60.237,119.412,38.477,2.234,,,,,,220.36
1851,60.149,119.199,38.424,2.218,,,,,,219.99
1852,60.061,118.986,38.371,2.203,,,,,,219.62
1853,59.973,118.774,38.317,2.187,,,,,,219.251
1854,59.885,118.562,38.264,2.172,,,,,,218.883
1855,59.797,118.35,38.211,2.156,,,,,,218.515
1856,59.71,118.139,38.158,2.141,,,,,,218.148
1857,59.622,117.928,38.106,2.125,,,,,,217.781
1858,59.535,117.718,38.053,2.11,,,,,,217.415
1859,59.448,117.507,38,2.094,,,,,,217.049
1860,59.361,117.298,37.947,2.341,,,,,,216.947
1861,59.274,117.051,37.895,2.343,,,,,,216.563
1862,59.187,116.806,37.842,2.346,,,,,,216.181
1863,59.1,116.56,37.79,2.349,,,,,,215.8
1864,59.014,116.315,37.738,2.354,,,,,,215.42
1865,58.927,116.071,37.685,2.359,,,,,,215.043
1866,58.841,115.827,37.633,2.365,,,,,,214.667
1867,58.755,115.584,37.581,2.373,,,,,,214.292
1868,58.668,115.341,37.529,2.384,,,,,,213.923
1869,58.583,115.099,37.477,2.396,,,,,,213.554
1870,58.497,114.858,37.425,2.405,,,,,,213.185
1871,58.823,115.474,37.603,2.44,,,,,,214.341
1872,59.152,116.094,37.782,2.476,,,,,,215.503
1873,59.482,116.717,37.962,2.511,,,,,,216.672
1874,59.815,117.343,38.143,2.705,,,,,,218.005
1875,60.149,117.973,38.324,3.019,,,,,,219.465
1876,60.485,118.606,38.506,3.05,,,,,,220.647
1877,60.822,119.243,38.69,3.058,,,,,,221.813
1878,61.162,119.882,38.874,3.255,,,,,,223.173
1879,61.504,120.526,39.059,3.43,0.023,,,,,224.542
1880,61.847,121.173,39.245,3.495,0.036,,,,,225.796
1881,62.193,121.746,39.405,3.579,0.032,,,,,226.954
1882,62.54,122.321,39.565,3.618,0.071,,,,,228.115
1883,62.889,122.899,39.727,3.716,0.048,,,,,229.279
1884,63.24,123.48,39.89,3.857,0.093,,,,,230.561
1885,63.594,124.064,40.053,4.028,0.066,,,,,231.805
