,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,7.514,22.581,9.088,0.245,,,,,,39.429
1821,7.585,22.776,9.162,0.271,,,,,,39.794
1822,7.657,22.972,9.236,0.297,,,,,,40.163
1823,7.73,23.17,9.311,0.399,,,,,,40.61
1824,7.804,23.37,9.385,0.417,,,,,,40.976
1825,7.878,23.572,9.46,0.434,,,,,,41.343
1826,7.952,23.775,9.534,0.399,,,,,,41.661
1827,8.028,23.981,9.609,0.428,,,,,,42.046
1828,8.104,24.188,9.685,0.396,,,,,,42.373
1829,8.181,24.397,9.76,0.349,,,,,,42.687
1830,8.259,24.608,9.836,0.428,,,,,,43.131
1831,8.338,24.82,9.913,0.368,,,,,,43.439
1832,8.417,25.035,9.989,0.447,,,,,,43.888
1833,8.497,25.252,10.066,0.458,,,,,,44.274
1834,8.578,25.47,10.144,0.499,,,,,,44.691
1835,8.66,25.691,10.222,0.529,,,,,,45.102
1836,8.742,25.914,10.301,0.593,,,,,,45.549
1837,8.826,26.138,10.38,0.63,,,,,,45.974
1838,8.91,26.365,10.46,0.699,,,,,,46.433
1839,8.995,26.594,10.54,0.776,,,,,,46.905
1840,9.08,26.824,10.622,0.889,,,,,,47.416
1841,9.167,27.057,10.704,0.971,,,,,,47.899
1842,9.254,27.292,10.787,1.02,,,,,,48.353
1843,9.343,27.529,10.87,0.996,,,,,,48.738
1844,9.432,27.768,10.955,1.115,,,,,,49.269
1845,9.522,28.01,11.04,1.291,,,,,,49.862
1846,9.613,28.253,11.126,1.393,,,,,,50.386
1847,9.705,28.499,11.214,1.429,,,,,,50.846
1848,9.797,28.747,11.302,1.468,,,,,,51.314
1849,9.891,28.997,11.391,1.377,,,,,,51.657
1850,9.986,29.25,11.482,1.452,,,,,,52.169
1851,10.085,29.409,11.582,1.593,,,,,,52.669
1852,10.183,29.562,11.68,1.842,,,,,,53.268
1853,10.283,29.716,11.78,2.042,,,,,,53.821
1854,10.383,29.871,11.881,2.198,,,,,,54.333
1855,10.484,30.027,11.983,2.58,,,,,,55.074
1856,10.587,30.184,12.085,2.909,,,,,,55.765
1857,10.69,30.342,12.189,3.162,,,,,,56.384
1858,10.795,30.501,12.293,2.94,,,,,,56.53
1859,10.9,30.662,12.398,3.581,,,,,,57.542
1860,11.007,30.823,12.504,3.795,0.004,,,,,58.133
1861,11.115,31.152,12.61,4.192,0.003,,,,,59.072
1862,11.224,31.485,12.716,4.658,0.004,,,,,60.086
1863,11.334,31.821,12.822,5.121,0.006,,,,,61.105
1864,11.446,32.162,12.929,5.503,0.008,,,,,62.047
1865,11.558,32.506,13.035,6.163,0.009,,,,,63.271
