,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,1.668,3.476,2.653,,,,,,,7.798
1821,1.689,3.52,2.686,,,,,,,7.895
1822,1.71,3.564,2.72,,,,,,,7.994
1823,1.732,3.609,2.754,,,,,,,8.095
1824,1.754,3.654,2.789,,,,,,,8.197
1825,1.776,3.701,2.825,,,,,,,8.301
1826,1.799,3.748,2.86,,,,,,,8.407
1827,1.822,3.796,2.897,,,,,,,8.514
1828,1.845,3.844,2.934,,,,,,,8.624
1829,1.869,3.894,2.972,,,,,,,8.735
1830,1.893,3.944,3.01,,,,,,,8.847
1831,1.918,3.995,3.049,,,,,,,8.962
1832,1.943,4.047,3.089,,,,,,,9.078
1833,1.968,4.099,3.129,,,,,,,9.197
1834,1.994,4.153,3.17,,,,,,,9.317
1835,2.02,4.207,3.214,,,,,,,9.442
1836,2.047,4.263,3.271,,,,,,,9.581
1837,2.074,4.319,3.33,,,,,,,9.723
1838,2.102,4.376,3.39,,,,,,,9.868
1839,2.13,4.434,3.453,,,,,,,10.017
1840,2.158,4.494,3.518,,,,,,,10.17
1841,2.187,4.554,3.586,0.011,,,,,,10.338
1842,2.217,4.615,3.656,0.037,,,,,,10.525
1843,2.247,4.678,3.728,0.006,,,,,,10.659
1844,2.278,4.741,3.803,0.005,,,,,,10.827
1845,2.309,4.806,3.881,0.006,,,,,,11.002
1846,2.341,4.872,3.961,0.007,,,,,,11.181
1847,2.373,4.94,4.044,0.018,,,,,,11.375
1848,2.407,5.009,4.13,0.023,,,,,,11.569
1849,2.441,5.079,4.218,0.033,,,,,,11.771
1850,2.475,5.152,4.31,0.045,,,,,,11.982
1851,2.505,5.234,4.395,0.063,,,,,,12.197
1852,2.536,5.318,4.482,0.05,,,,,,12.386
1853,2.567,5.403,4.571,0.06,,,,,,12.602
1854,2.598,5.49,4.663,0.055,,,,,,12.807
1855,2.63,5.578,4.757,0.074,,,,,,13.039
1856,2.663,5.668,4.854,0.268,,,,,,13.452
1857,2.695,5.76,4.952,0.352,,,,,,13.76
1858,2.729,5.853,5.054,0.371,,,,,,14.007
1859,2.762,5.948,5.158,0.306,,,,,,14.173
1860,2.797,6.044,5.264,0.377,,,,,,14.482
1861,2.831,6.122,5.373,0.396,,,,,,14.723
1862,2.867,6.202,5.485,0.424,,,,,,14.977
1863,2.902,6.282,4.679,0.382,,,,,,14.246
1864,2.939,6.364,4.535,0.507,,,,,,14.344
1865,2.975,6.446,4.396,0.562,,,,,,14.379
1866,3.013,6.531,4.261,0.709,,,,,,14.513
1867,3.051,6.616,3.988,0.748,,,,,,14.402
1868,3.089,6.703,3.832,0.83,,,,,,14.454
1869,3.128,6.791,3.745,0.783,,,,,,14.447
1870,3.168,6.88,3.603,0.785,,,,,,14.436
1871,3.219,7.017,3.053,0.814,,,,,,14.102
1872,3.271,7.156,3.206,1.032,,,,,,14.666
1873,3.324,7.3,2.892,1.124,,,,,,14.64
1874,3.379,7.446,3.173,1.249,,,,,,15.248
1875,3.434,7.597,3.075,1.109,,,,,,15.215
1876,3.491,7.752,2.995,1.072,,,,,,15.31
1877,3.55,7.911,3.135,1.023,,,,,,15.619
1878,3.61,8.074,3.227,1.036,,,,,,15.948
1879,3.671,8.241,2.78,1.072,,,,,,15.764
1880,3.733,8.413,2.628,1.167,0.001,,,,,15.942
1881,3.797,8.604,3.023,1.246,0.001,,,,,16.671
1882,3.862,8.8,3.375,1.276,0.005,,,,,17.319
1883,3.929,9.001,3.332,1.342,0.005,,,,,17.609
1884,3.997,9.207,3.209,1.492,0.006,,,,,17.912
1885,4.066,9.419,3.205,1.552,0.008,,,,,18.25
1886,4.135,9.631,2.648,1.464,0.007,,,,,17.884
1887,4.205,9.85,2.507,1.709,0.009,,,,,18.28
1888,4.278,10.075,2.321,2.068,0.007,,,,,18.749
1889,4.352,10.306,2.498,2.436,0.012,,,,,19.604
1890,4.427,10.545,2.591,2.141,0.021,,,,,19.725
1891,4.505,10.768,2.69,2.429,0.03,,,,,20.422
1892,4.583,10.996,2.796,2.641,0.022,,,,,21.038
1893,4.664,11.229,2.908,2.569,0.02,,,,,21.391
1894,4.746,11.468,3.028,3.111,0.02,,,,,22.373
1895,4.83,11.713,3.155,3.123,0.022,,0.001,,,22.843
1896,4.916,11.964,3.291,3.299,0.021,,0.001,,,23.491
1897,5.004,12.221,3.435,3.286,0.028,,0.001,,,23.975
1898,5.093,12.485,3.589,3.56,0.037,,0.001,,,24.766
1899,5.185,12.755,3.753,3.889,0.047,,0.001,,,25.63
1900,5.279,13.033,3.928,3.753,0.05,,0.002,,,26.044
1901,5.386,13.426,4.121,4.167,0.044,,0.01,,,27.153
1902,5.487,13.812,4.285,4.449,0.048,,0.01,,,28.091
