,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,2.037,3.53,1.619,,,,,,,7.186
1821,2.045,3.543,1.624,,,,,,,7.213
1822,2.054,3.557,1.63,,,,,,,7.24
1823,2.062,3.57,1.636,,,,,,,7.268
1824,2.071,3.584,1.641,,,,,,,7.296
1825,2.079,3.597,1.647,,,,,,,7.323
1826,2.088,3.611,1.653,,,,,,,7.351
1827,2.096,3.625,1.658,,,,,,,7.379
1828,2.105,3.638,1.664,,,,,,,7.407
1829,2.113,3.652,1.67,,,,,,,7.435
1830,2.122,3.666,1.676,,,,,,,7.464
1831,2.131,3.68,1.682,,,,,,,7.492
1832,2.139,3.694,1.687,,,,,,,7.521
1833,2.148,3.708,1.693,,,,,,,7.549
1834,2.157,3.722,1.699,,,,,,,7.578
1835,2.166,3.736,1.705,,,,,,,7.607
1836,2.175,3.75,1.711,,,,,,,7.636
1837,2.184,3.764,1.717,,,,,,,7.665
1838,2.193,3.778,1.723,,,,,,,7.694
1839,2.201,3.793,1.729,,,,,,,7.723
1840,2.21,3.807,1.735,,,,,,,7.752
1841,2.22,3.822,1.741,,,,,,,7.782
1842,2.229,3.836,1.747,,,,,,,7.811
1843,2.238,3.85,1.753,,,,,,,7.841
1844,2.247,3.865,1.759,,,,,,,7.871
1845,2.256,3.88,1.765,,,,,,,7.901
1846,2.265,3.894,1.771,,,,,,,7.931
1847,2.275,3.909,1.777,,,,,,,7.961
1848,2.284,3.924,1.783,,,,,,,7.991
1849,2.293,3.939,1.79,,,,,,,8.022
1850,2.303,3.954,1.796,,,,,,,8.052
1851,2.311,3.967,1.801,,,,,,,8.08
1852,2.32,3.981,1.807,,,,,,,8.108
1853,2.329,3.995,1.813,,,,,,,8.136
1854,2.338,4.009,1.818,,,,,,,8.165
1855,2.346,4.022,1.824,,,,,,,8.193
1856,2.355,4.036,1.83,,,,,,,8.221
1857,2.364,4.05,1.836,,,,,,,8.25
1858,2.373,4.064,1.841,,,,,,,8.279
1859,2.382,4.078,1.847,,,,,,,8.307
