,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,1.106,23.524,2.456,0.268,,,,,,27.354
1821,1.139,24.3,2.537,0.281,,,,,,28.257
1822,1.174,25.101,2.624,0.289,,,,,,29.188
1823,1.209,26.046,2.735,0.299,,,,,,30.289
1824,1.261,27.041,2.83,0.331,,,,,,31.462
1825,1.296,28.06,2.933,0.364,,,,,,32.653
1826,1.33,28.997,3.068,0.413,,,,,,33.808
1827,1.388,29.937,3.251,0.45,,,,,,35.026
1828,1.423,30.785,3.251,0.513,,,,,,35.971
1829,1.457,31.636,3.33,0.568,,,,,,36.99
1830,1.491,32.49,3.417,0.648,,,,,,38.046
1831,1.536,33.55,3.493,0.696,,,,,,39.275
1832,1.582,34.663,3.674,0.902,,,,,,40.821
1833,1.627,35.779,3.789,1.04,,,,,,42.234
1834,1.672,36.9,3.937,1.025,,,,,,43.534
1835,1.718,38.049,4.061,1.288,,,,,,45.115
1836,1.763,39.111,4.22,1.392,,,,,,46.485
1837,1.843,40.197,4.333,1.547,,,,,,47.919
1838,1.894,41.26,4.481,1.499,,,,,,49.133
1839,1.963,42.347,4.605,1.632,,,,,,50.546
1840,2.038,43.434,4.741,1.73,,,,,,51.943
1841,2.031,44.997,4.843,1.846,,,,,,53.716
1842,2.051,46.536,4.932,2.038,,,,,,55.558
1843,2.043,48.1,5.046,2.27,,,,,,57.459
1844,2.031,49.641,5.173,2.713,,,,,,59.558
1845,2.089,51.206,5.25,3.232,,,,,,61.777
1846,2.171,52.607,5.363,3.645,,,,,,63.786
1847,2.229,53.999,5.453,4.313,,,,,,65.994
1848,2.287,55.405,5.581,4.786,,,,,,68.058
1849,2.369,57.208,5.728,5.208,,,,,,70.513
1850,2.464,59.098,5.89,5.644,,,,,,73.096
1851,2.579,61.562,6.229,6.99,,,,,,77.359
1852,2.671,63.392,6.373,7.608,,,,,,80.043
1853,2.798,65.234,6.605,8.548,,,,,,83.184
1854,2.882,67.063,6.828,10.053,,,,,,86.826
1855,2.977,68.881,7.052,10.799,,,,,,89.708
1856,3.097,70.33,7.294,11.345,,,,,,92.065
1857,3.193,71.77,7.499,11.644,,,,,,94.105
1858,3.291,73.152,7.723,11.836,,,,,,96.002
1859,3.413,74.526,7.946,12.867,,,,,,98.752
1860,3.619,75.866,8.085,13.416,0.073,,,,,101.059
1861,3.7,76.93,8.4,12.768,0.108,,,,,101.906
1862,3.816,77.869,8.424,13.169,0.143,,,,,103.422
1863,3.934,78.78,8.448,15.272,0.178,,,,,106.613
1864,4.053,79.663,8.494,16.425,0.213,,,,,108.847
1865,4.174,80.54,8.497,16.432,0.248,,,,,109.891
1866,4.319,80.765,8.521,19.292,0.258,,,,,113.155
1867,4.443,80.938,8.546,20.04,0.267,,,,,114.233
1868,4.568,81.082,8.694,22.727,0.276,,,,,117.347
1869,4.695,81.15,8.815,25.571,0.285,,,,,120.516
1870,4.855,81.093,9.053,27.029,0.294,,,,,122.324
1871,4.986,82.003,9.395,28.336,0.294,,,,,125.013
1872,5.141,82.755,9.758,34.697,0.293,,,,,132.644
1873,5.322,83.493,10.033,38.148,0.293,,,,,137.289
1874,5.48,83.883,10.312,36.753,0.293,,,,,136.721
1875,5.641,84.354,10.581,37.361,0.293,,,,,138.23
1876,5.804,84.131,10.872,36.648,0.737,,,,,138.191
1877,5.993,84.014,11.158,40.247,1.181,,,,,142.592
1878,6.159,83.502,11.462,39.119,1.626,,,,,141.868
1879,6.282,83.074,11.782,47.288,2.07,,,,,150.495
1880,6.439,82.68,12.147,53.184,2.562,,,,,157.012
1881,6.521,82.253,12.404,56.157,2.269,,,,,159.604
1882,6.671,81.73,12.66,63.095,1.999,0.092,,,,166.247
1883,6.821,81.016,13.025,69.369,1.706,0.21,,,,172.147
1884,6.995,80.111,13.466,73.387,1.437,0.65,,,,176.046
1885,7.145,79.111,13.873,74.07,1.144,2.059,,,,177.402
1886,7.189,78.247,14.379,76.533,1.742,2.942,,,,181.033
1887,7.337,77.306,14.882,88.081,2.341,3.825,,,,193.771
1888,7.484,76.263,15.482,99.999,2.94,4.708,,,,206.875
1889,7.656,75.094,15.955,95.212,3.538,5.591,,,,203.047
1890,7.767,73.8,16.483,106.423,4.137,6.474,0.555,,,215.638
1891,7.954,72.502,16.971,113.872,4.197,5.921,0.735,,,222.154
1892,8.105,71.052,17.467,120.917,4.258,5.369,0.975,,,228.143
1893,8.305,69.498,17.831,123.122,4.319,4.816,1.292,,,229.183
