,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,0.128,1,0.014,,,,,,,1.142
1821,0.128,0.998,0.016,,,,,,,1.142
1822,0.129,0.998,0.017,,,,,,,1.144
1823,0.13,0.998,0.019,,,,,,,1.147
1824,0.13,1,0.022,,,,,,,1.152
1825,0.131,1.002,0.024,,,,,,,1.157
1826,0.131,1,0.027,,,,,,,1.159
1827,0.132,1,0.03,,,,,,,1.162
1828,0.132,0.999,0.034,,,,,,,1.165
1829,0.133,0.999,0.038,,,,,,,1.171
1830,0.134,1.002,0.043,0.017,,,,,,1.196
1831,0.135,1.003,0.052,0.018,,,,,,1.207
1832,0.135,1.004,0.058,0.02,,,,,,1.217
1833,0.137,1.009,0.064,0.022,,,,,,1.232
1834,0.138,1.011,0.071,0.024,,,,,,1.244
1835,0.138,1.012,0.08,0.026,,,,,,1.257
1836,0.139,1.016,0.089,0.029,,,,,,1.274
1837,0.14,1.019,0.1,0.032,,,,,,1.291
1838,0.142,1.027,0.111,0.035,,,,,,1.315
1839,0.144,1.035,0.126,0.038,,,,,,1.343
1840,0.147,1.044,0.139,0.042,,,,,,1.372
1841,0.151,1.064,0.15,0.046,,,,,,1.41
1842,0.153,1.077,0.165,0.05,,,,,,1.445
1843,0.155,1.084,0.184,0.055,,,,,,1.477
1844,0.157,1.092,0.205,0.061,,,,,,1.514
1845,0.159,1.102,0.227,0.066,,,,,,1.555
1846,0.161,1.112,0.253,0.073,,,,,,1.598
1847,0.163,1.123,0.281,0.08,,,,,,1.647
1848,0.166,1.138,0.31,0.088,,,,,,1.702
1849,0.17,1.164,0.337,0.096,,,,,,1.768
1850,0.174,1.185,0.371,0.105,,,,,,1.836
1851,0.178,1.262,0.379,0.095,,,,,,1.914
1852,0.185,1.374,0.376,0.109,,,,,,2.043
1853,0.193,1.5,0.373,0.102,,,,,,2.168
1854,0.202,1.642,0.371,0.109,,,,,,2.325
1855,0.212,1.797,0.372,0.123,,,,,,2.503
1856,0.22,1.952,0.377,0.122,,,,,,2.671
