,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
,,,,,,,,,,
1820,12.609,27.949,10.956,22.287,,,,,,73.8
1821,12.683,27.879,11.004,22.767,,,,,,74.333
1822,12.881,27.822,11.074,23.073,,,,,,74.849
1823,13.022,28.079,11.179,23.682,,,,,,75.961
1824,13.256,28.381,11.341,24.413,,,,,,77.39
1825,13.308,27.951,11.397,24.926,,,,,,77.583
1826,13.576,28.228,11.544,25.496,,,,,,78.843
1827,13.595,28.294,11.644,26.407,,,,,,79.94
1828,13.693,28.427,11.721,27.015,,,,,,80.856
1829,13.765,28.376,11.769,27.463,,,,,,81.372
1830,13.839,28.475,11.888,28.111,,,,,,82.313
1831,14.079,28.739,12.052,28.645,,,,,,83.515
1832,14.287,28.875,12.189,29.553,,,,,,84.904
1833,14.407,28.917,12.273,30.368,,,,,,85.965
1834,14.56,29.085,12.401,31.221,,,,,,87.267
1835,14.873,29.793,12.563,32.349,,,,,,89.578
1836,14.656,29.52,12.452,33.921,,,,,,90.549
1837,14.669,29.468,12.488,35.492,,,,,,92.117
1838,14.904,29.783,12.651,36.839,,,,,,94.177
1839,15.016,30.077,12.818,38.104,,,,,,96.015
1840,15.432,30.431,13.012,39.867,,,,,,98.743
1841,15.765,30.615,13.181,41.105,,,,,,100.667
1842,15.926,30.995,13.38,41.912,,,,,,102.212
1843,15.838,30.745,13.362,43.189,,,,,,103.133
1844,16.009,30.795,13.505,44.914,,,,,,105.223
1845,16.243,30.172,13.688,48.332,,,,,,108.434
1846,16.362,30.332,13.785,50.2,,,,,,110.679
1847,16.382,30.271,13.83,51.854,,,,,,112.337
1848,16.517,30.337,13.892,51.562,,,,,,112.307
1849,16.516,30.195,13.906,53.869,,,,,,114.485
1850,16.63,30.045,13.873,56.925,,,,,,117.473
1851,16.729,30.083,13.881,59.691,,,,,,120.385
1852,16.703,30.079,13.861,63.375,,,,,,124.018
1853,16.644,30.174,13.84,66.815,,,,,,127.473
1854,16.452,30.059,13.771,71.765,,,,,,132.046
1855,16.382,29.749,13.871,74.605,,,,,,134.607
1856,16.54,30.114,13.936,77.075,,,,,,137.664
1857,16.98,30.735,14.198,79.555,,,,,,141.469
1858,17.293,31.013,14.324,79.59,,,,,,142.22
1859,17.189,30.934,14.336,81.09,,,,,,143.55
1860,17.27,30.862,14.357,86.524,,,,,,149.013
1861,17.404,30.679,14.332,89.865,,,,,,152.279
1862,17.607,30.857,14.185,92.507,0.02,,,,,155.176
1863,17.87,30.916,14.135,97.298,0.031,,,,,160.249
1864,17.911,30.993,14.026,102.569,0.05,,,,,165.548
1865,18.091,30.283,14.171,107.222,0.055,,,,,169.823
1866,17.847,30.303,14.179,110.306,0.107,,,,,172.741
1867,18.145,29.554,14.222,113.217,0.146,,,,,175.284
1868,18.179,29.517,14.26,115.6,0.173,,,,,177.729
1869,18.41,29.494,14.451,119.561,0.206,,,,,182.123
1870,18.316,29.479,14.582,121.419,0.263,,,,,184.058
1871,18.224,29.362,14.634,127.008,0.327,,,,,189.555
1872,18.292,29.225,14.819,134.897,0.317,,,,,197.55
1873,18.805,29.244,14.981,142.529,0.423,,,,,205.982
1874,18.492,28.305,15.049,139.464,0.398,,,,,201.708
1875,18.762,28.395,15.173,145.3,0.488,,,,,208.118
1876,19.004,28.612,15.261,145.838,0.56,,,,,209.275
1877,19.299,28.38,15.33,145.315,0.668,,,,,208.992
1878,19.435,28.422,15.386,146.241,0.595,,,,,210.079
1879,19.167,28.039,15.392,149.338,0.69,,,,,212.626
1880,19.495,28.42,15.497,165.866,0.661,,,,,229.938
1881,19.626,28.332,15.427,173.188,0.834,,,,,237.407
1882,19.661,28.483,15.573,178.368,0.894,,,,,242.978
1883,20.045,27.689,15.782,186.607,0.967,,,,,251.09
1884,20.322,27.778,15.87,184.251,1.056,,,,,249.276
1885,20.29,28.101,16.009,183.809,1.31,,,,,249.519
1886,20.247,28.317,16.098,183.256,1.234,,,,,249.152
1887,20.616,28.667,16.114,190.212,1.291,,,,,256.901
1888,20.581,28.312,16.172,200.613,1.531,,,,,267.209
1889,20.863,27.988,16.159,208.875,1.62,,,,,275.505
1890,20.886,27.736,16.187,217.695,1.662,,,,,284.167
1891,21.078,27.749,16.575,222.293,1.83,,,,,289.526
1892,21.851,27.778,16.697,219.027,1.902,,,,,287.255
1893,20.849,27.789,16.694,207.918,2.056,,0.001,,,275.307
1894,21.549,28.341,16.829,228.307,2.119,,0.003,,,297.147
1895,21.476,27.852,16.908,232.631,2.28,,0.004,,,301.152
1896,22.03,27.54,16.958,241.913,2.385,,0.005,,,310.831
1897,21.815,27.373,17.031,252.35,2.429,,0.008,,,321.007
1898,22.193,27.346,17.082,257.373,2.609,,0.012,,,326.615
1899,22.403,27.186,17.172,274.624,2.675,,0.016,,,344.076
1900,22.743,27.298,17.26,286.477,2.818,0.001,0.02,,,356.617
1901,22.874,27.359,17.219,281.2,2.827,0.001,0.038,,,351.518
1902,23.615,27.486,17.443,283.418,2.957,0.001,0.047,,,354.966
1903,23.784,26.879,17.567,295.509,3.047,0.002,0.058,,,366.845
1904,23.973,26.156,17.718,300.007,3.131,0.002,0.066,,,371.053
1905,24.042,25.898,17.866,306.124,3.056,0.003,0.075,,,377.064
1906,24.349,25.886,18.095,330.291,3.084,0.005,0.096,,,401.806
1907,24.936,25.728,18.398,348.412,3.175,0.005,0.128,,,420.782
1908,24.879,25.638,18.631,347.433,3.439,0.006,0.151,,,420.177
1909,25.216,25.502,18.942,350.723,3.527,0.007,0.174,,,424.091
1910,25.881,26.276,19.318,354.563,3.51,0.007,0.209,,,429.765
1911,26.196,25.981,19.561,364.461,3.6,0.008,0.24,,,440.046
1912,26.034,26.23,19.766,369.71,4.04,0.006,0.292,,,446.078
1913,25.885,26.566,19.953,398.996,4.701,0.005,0.316,,,476.422
1914,25.198,27.125,19.141,360.752,3.621,0.005,0.395,,,436.236
1915,24.763,28.346,19.405,346.818,3.379,0.005,0.454,,,423.17
1916,24.496,29.17,19.381,366.059,2.982,0.005,0.521,,,442.613
