region,year,modern_rate,modern_rate_norm
WE,1850,0.4845794352744886,0.5132582339864746
WE,1950,0.8655816871684697,0.916809290256959
WE,2000,0.9414907560271712,0.9972108751981473
EE,1850,0.027832620905135233,0.029162229897606366
EE,1950,0.781859655105903,0.8192103462902673
EE,2000,0.9411142332127524,0.9860727713140413
NA,1850,0.07721352741600088,0.0797633801414405
NA,1950,0.9254246695850701,0.9559853329156974
NA,2000,0.9643663108798997,0.9962129593676841
LA,1850,0.003755633450175263,0.00424641989322566
LA,1950,0.40387767740055364,0.45665644065009897
LA,2000,0.8500003115517146,0.9610784119661007
As,1850,0.010137956071882373,0.011515532497300921
As,1950,0.19731423175037324,0.2241258920230752
As,2000,0.7480962827177933,0.8497498897869282
ME,1850,0.0,0.0
ME,1950,0.3942509639196264,0.41467112813799245
ME,2000,0.9180401939696317,0.965589935721797
Af,1850,0.0,0.0
Af,1950,0.3424559540402811,0.48631379640845185
Af,2000,0.6642547824800047,0.9432928855204677
O,1850,0.05718954248366013,0.06021495808299812
O,1950,0.7521203933048112,0.7919087299772848
O,2000,0.9381514627359555,0.9877811318439758
