,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1800,7.3,3.1,88.5,,1.1,,,
1801,7.3,3.1,88.5,,1.1,,,
1802,7.3,3.1,88.5,,1.1,,,
1803,7.3,3.1,88.5,,1.2,,,
1804,7.3,3.1,88.4,,1.2,,,
1805,7.3,3.1,88.4,,1.2,,,
1806,7.3,3.1,88.4,,1.2,,,
1807,7.2,3.1,88.4,,1.3,,,
1808,7.2,3.1,88.4,,1.3,,,
1809,7.1,3.1,88.4,,1.4,,,
1810,7.1,3,88.4,,1.4,,,
1811,7,3,88.5,,1.5,,,
1812,7,3,88.5,,1.6,,,
1813,6.9,3,88.5,,1.6,,,
1814,6.9,2.9,88.5,,1.7,,,
1815,6.8,2.9,88.5,,1.8,,,
1816,6.7,2.9,88.5,,1.8,,,
1817,6.7,2.9,88.6,,1.9,,,
1818,6.6,2.8,88.6,,2,,,
1819,6.5,2.8,88.6,,2.1,,,
1820,6.4,2.8,88.7,,2.2,,,
1821,6.3,2.7,88.7,,2.2,,,
1822,6.2,2.7,88.8,,2.3,,,
1823,6.4,2.7,88.7,,2.2,,,
1824,6.5,2.8,88.6,,2.1,,,
1825,6.7,2.9,88.5,,1.9,,,
1826,7.6,2.8,87.6,,1.9,,,
1827,9.9,2.8,85.5,,1.9,,,
1828,6.8,2.8,88.4,,2,,,
1829,6.7,2.8,88.4,,2.1,,,
1830,6.6,2.7,88.3,0.2,2.2,,,
1831,5.3,2.8,89.4,0.2,2.4,,,
1832,6.7,2.8,88,0.2,2.4,,,
1833,6.7,2.8,87.8,0.2,2.5,,,
1834,6.8,2.8,87.6,0.2,2.6,,,
1835,6.9,2.9,87.4,0.2,2.6,,,
1836,7,2.9,87.2,0.2,2.7,,,
1837,7,2.9,87,0.2,2.8,,,
1838,7.1,3,86.8,0.2,2.9,,,
1839,7.2,3,86.6,0.2,3,,,
1840,7.3,3,86.4,0.2,3.1,,,
1841,7.3,3.1,86.2,0.2,3.1,,,
1842,7.4,3.1,86.1,0.2,3.2,,,
1843,7.5,3.1,85.9,0.2,3.3,,,
1844,7.5,3.1,85.7,0.2,3.4,,,
1845,7.6,3.2,85.5,0.2,3.5,,,
1846,7.7,3.2,85.3,0.2,3.6,,,
1847,7.7,3.2,85.1,0.2,3.7,,,
1848,7.8,3.2,84.9,0.3,3.8,,,
1849,8,3.3,84.8,0.2,3.6,,,
1850,8.2,3.4,84.8,0.2,3.4,,,
1851,8.4,3.5,84.7,0.2,3.2,,,
1852,7.4,3.6,85.6,0.2,3.3,,,
1853,7.2,3.6,85.5,0.2,3.5,,,
1854,7.1,3.6,85.5,0.2,3.6,,,
1855,6.9,3.6,85.5,0.2,3.7,,,
1856,6.8,3.6,85.4,0.2,3.9,,,
1857,6.7,3.7,85.4,0.2,4,,,
1858,6.5,3.7,85.4,0.2,4.2,,,
1859,6.4,3.7,85.3,0.2,4.4,,,
1860,6.3,3.7,85.3,0.2,4.5,,,
1861,9.2,3.6,82.4,0.2,4.5,,,
1862,9.1,3.6,82.3,0.2,4.8,,,
1863,9,3.6,82.1,0.2,5,,,
1864,8.9,3.7,81.9,0.3,5.2,,,
1865,8.8,3.7,81.8,0.3,5.5,,,
1866,8.6,3.7,81.6,0.3,5.8,,,
1867,8.5,3.7,81.4,0.3,6,,,
1868,8.4,3.7,81.3,0.3,6.3,,,
1869,8.3,3.7,81.1,0.3,6.6,,,
1870,8.3,3.8,81.7,0.3,7,,,
1871,8.3,3.7,81.5,0.3,7.3,,,
1872,8.3,3.7,81.1,0.3,7.6,,,
1873,8.3,3.7,80.9,0.3,7.8,,,
1874,8.5,3.8,79.9,0.3,8.3,,,
1875,8.6,3.8,79.5,0.4,8.7,,,
1876,8.8,3.8,78.5,0.4,9.2,,,
1877,8.8,3.8,78.2,0.4,9.5,,,
1878,9.1,3.8,77,0.4,10.2,,,
1879,9.2,3.9,76.3,0.4,10.6,,,
1880,9.1,3.8,75.8,0.4,11,0.4,,
1881,9.2,3.8,75.1,0.4,11.6,0.4,,
1882,9.1,3.7,73.6,0.3,13.3,0.5,,
1883,9.1,3.7,72.1,0.3,14.6,0.6,,
1884,9.1,3.6,70.1,0.3,16.5,0.6,,
1885,9.4,3.7,70.3,0.3,15.9,0.7,,
1886,9.6,3.7,69.1,0.3,16.7,0.7,,
1887,9.6,3.7,66.7,0.3,19.3,0.7,,
1888,9.8,3.7,65.5,0.3,20.2,0.7,,
1889,10.1,3.7,64.5,0.3,20.8,0.7,,
1890,10.2,3.7,62.5,0.2,22.7,0.7,,
1891,10.1,3.7,60.4,0.2,25,0.7,,
1892,10.4,3.8,60,0.2,25.1,0.7,,
1893,10.4,3.8,58.5,0.2,26.6,0.7,,
1894,10.8,3.9,58.6,0.2,25.9,0.7,,
1895,11.1,4,58.8,0.2,25.3,0.8,,
1896,11.2,4,56.9,0.2,27.1,0.8,,
1897,11.4,4,56.1,0.2,27.6,0.8,,
1898,11.5,4.1,54.6,0.2,29,0.8,,
1899,11,3.9,50.7,0.2,33.6,0.8,,
1900,10.9,3.9,49,0.1,35.4,0.7,,0.2
1901,10.5,3.7,45.9,0.1,39.2,0.5,,0.2
1902,10.3,3.7,44.4,0.1,41,0.5,,0.2
1903,10.1,3.6,42.6,0.1,43,0.4,,0.2
1904,9.4,3.5,39.4,0.1,47,0.5,,0.2
1905,9.2,3.4,38.1,0,48.2,0.9,,0.2
1906,9.1,3.4,36.7,0,49.8,0.8,,0.3
1907,8.6,3.1,32.7,0,54.7,0.7,,0.3
1908,9,3.2,32.3,0,54.5,0.7,,0.3
1909,9.5,3.3,32.6,0,53.5,0.8,,0.4
1910,9.4,3.2,30.1,0,55.9,1.1,,0.4
1911,8.9,3,27.2,0,58.3,1.2,1.2,0.4
1912,8.6,2.8,25,0,60.1,1.8,1.4,0.4
1913,8.1,2.6,22.2,0,63,2.1,1.7,0.4
1914,9.3,3,24.1,0,58.7,2.5,2,0.5
1915,10.4,3.2,25.1,0,55.8,2.9,1.9,0.7
1916,9.3,2.8,21.1,0,61.5,2.4,2.2,0.7
1917,8.9,2.7,19.2,0,64.5,1.7,2.2,0.7
1918,9,2.6,18,0,65.6,2.3,1.6,0.8
1919,10.3,3,19.5,0,61,3.5,1.7,1
1920,9.4,2.8,17.6,0,64.1,3.6,1.3,1.1
1921,9.8,3,18.9,0,62,3.8,1.2,1.3
