,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1800,8.6,7.2,4.3,2.5,77.5,0,0,0
1801,8.3,7,4.1,2.6,78,0,0,0
1802,8.2,6.9,3.9,2.6,78.3,0,0,0
1803,8.1,6.7,3.8,2.7,78.7,0,0,0
1804,7.9,6.6,3.6,2.7,79.2,0,0,0
1805,7.9,6.4,3.4,2.7,79.6,0,0,0
1806,7.8,6.3,3.3,2.6,80,0,0,0
1807,7.6,6.1,3.1,2.6,80.5,0,0,0
1808,7.6,6,3,2.6,80.9,0,0,0
1809,7.4,5.9,2.9,2.5,81.3,0,0,0
1810,7.3,5.7,2.7,2.5,81.7,0,0,0
1811,7.2,5.6,2.6,2.5,82.1,0,0,0
1812,7.1,5.6,2.5,2.5,82.3,0,0,0
1813,7.1,5.4,2.4,2.5,82.6,0,0,0
1814,7.1,5.4,2.3,2.5,82.8,0,0,0
1815,7,5.4,2.2,2.5,82.9,0,0,0
1816,7,5.3,2.1,2.5,83.1,0,0,0
1817,6.9,5.3,2,2.4,83.5,0,0,0
1818,6.9,5.2,1.9,2.4,83.7,0,0,0
1819,6.8,5.1,1.8,2.3,84,0,0,0
1820,6.7,5.1,1.7,2.3,84.2,0,0,0
1821,6.7,5,1.6,2.2,84.5,0,0,0
1822,6.7,5,1.5,2.1,84.7,0,0,0
1823,6.6,4.9,1.4,2.1,85,0,0,0
1824,6.6,4.9,1.4,2.1,85.1,0,0,0
1825,6.5,4.9,1.3,2,85.3,0,0,0
1826,6.5,4.8,1.2,2,85.5,0,0,0
1827,6.4,4.8,1.1,1.8,85.8,0,0,0
1828,6.4,4.8,1.1,1.8,86,0,0,0
1829,6.2,4.6,1,1.7,86.4,0,0,0
1830,6.2,4.6,0.9,1.7,86.6,0,0,0
1831,6.1,4.6,0.9,1.7,86.7,0,0,0
1832,6.1,4.6,0.8,1.7,86.8,0,0,0
1833,6,4.5,0.7,1.7,87.2,0,0,0
1834,5.8,4.4,0.7,1.6,87.5,0,0,0
1835,5.7,4.3,0.6,1.6,87.8,0,0,0
1836,5.6,4.2,0.6,1.6,88,0,0,0
1837,5.5,4.1,0.5,1.5,88.3,0,0,0
1838,5.4,4,0.5,1.5,88.5,0,0,0
1839,5.3,4,0.4,1.6,88.7,0,0,0
1840,5.2,3.9,0.4,1.6,88.9,0,0,0
1841,5.2,3.8,0.3,1.7,89,0,0,0
1842,5.1,3.8,0.3,1.7,89.2,0,0,0
1843,4.9,3.6,0.2,1.6,89.7,0,0,0
1844,4.7,3.5,0.2,1.5,90.1,0,0,0
1845,4.6,3.4,0.1,1.5,90.3,0,0,0
1846,4.4,3.3,0.1,1.5,90.7,0,0,0
1847,4.3,3.2,0.1,1.5,91,0,0,0
1848,4.2,3.1,0.1,1.4,91.2,0,0,0
1849,4,3,0,1.4,91.5,0,0,0
1850,3.9,2.9,0,1.4,91.7,0,0,0
1851,3.9,2.9,0,0,93.2,0,0,0
1852,3.8,2.8,0,0,93.4,0,0,0
1853,3.7,2.7,0,0,93.5,0,0,0
1854,3.7,2.7,0,0,93.7,0,0,0
1855,3.6,2.6,0,0,93.8,0,0,0
1856,3.5,2.6,0,0,93.8,0,0,0
1857,3.5,2.6,0,0,93.9,0,0,0
1858,3.4,2.5,0,0,94.1,0,0,0
1859,3.3,2.5,0,0,94.2,0,0,0
1860,3.3,2.4,0,0,94.3,0,0,0
1861,3.2,2.4,0,0,94.4,0,0,0
1862,3.2,2.3,0,0,94.5,0,0,0
1863,3.2,2.4,0,0,94.4,0,0,0
1864,3,2.3,0,0,94.7,0,0,0
1865,3,2.2,0,0,94.8,0,0,0
1866,2.9,2.2,0,0,94.9,0,0,0
1867,3,2.2,0,0,94.7,0,0,0
1868,2.9,2.1,0,0,94.9,0,0,0
1869,2.9,2.1,0,0,95,0,0,0
1870,2.7,2,0,0,95.3,0,0,0
1871,2.6,1.9,0,0,95.4,0,0,0
1872,2.5,1.9,0,0,95.6,0,0,0
1873,2.6,1.9,0,0,95.4,0.1,0,0
1874,2.5,1.9,0,0,95.5,0.1,0,0
1875,2.5,1.9,0,0,95.5,0.1,0,0
1876,2.6,1.9,0,0,95.4,0.1,0,0
1877,2.6,2,0,0,95.2,0.2,0,0
1878,2.6,2,0,0,95.2,0.1,0,0
1879,2.4,1.8,0,0,95.6,0.2,0,0
1880,2.3,1.8,0,0,95.7,0.2,0,0
1881,2.3,1.4,0,0,96,0.2,0,0
1882,2.2,1.4,0,0,96.2,0.2,0,0
1883,2.3,1.4,0,0,96,0.3,0,0
1884,2.4,1.5,0,0,95.9,0.2,0,0
1885,2.4,1.5,0,0,95.7,0.3,0,0
1886,2.3,1.5,0,0,95.9,0.3,0,0
1887,2.3,1.5,0,0,96,0.3,0,0
1888,2.2,1.4,0,0,96,0.4,0,0
1889,2.2,1.4,0,0,96,0.4,0,0
1890,2.1,1.4,0,0,96,0.4,0,0
1891,2.2,1.9,0,0,95.4,0.5,0,0
1892,2.5,2.1,0,0,94.8,0.5,0,0
1893,2.1,1.8,0,0,95.5,0.6,0,0
1894,2.2,1.8,0,0,95.4,0.6,0,0
1895,2.1,1.8,0,0,95.4,0.6,0,0
1896,2.1,1.8,0,0,95.5,0.6,0,0
1897,2.1,1.8,0,0,95.4,0.6,0,0
1898,2,1.6,0,0,95.7,0.7,0,0
1899,2,1.7,0,0,95.8,0.5,0,0
1900,2.1,1.8,0,0,95.5,0.6,0,0
1901,2,1.7,0,0,95.7,0.6,0,0
1902,2.1,1.6,0,0,95.6,0.6,0,0
1903,2.1,1.6,0,0,95.6,0.6,0,0
1904,2.2,1.6,0,0,95.6,0.7,0,0
1905,2.1,1.5,0,0,95.8,0.6,0,0
1906,2,1.4,0,0,96,0.6,0,0
1907,2.2,1.5,0,0,95.6,0.6,0,0
1908,2.3,1.5,0,0,95.6,0.7,0,0
1909,2.3,1.4,0,0,95.5,0.8,0,0
1910,2.3,1.4,0,0,95.7,0.7,0,0
1911,2.5,1.5,0,0,95.3,0.8,0,0
1912,2.3,1.2,0,0,95.7,0.8,0,0
1913,2.3,1.2,0,0,95.5,1,0,0
1914,2.5,1.2,0,0,95,1.4,0,0
1915,2.3,1.1,0,0,95.5,1.2,0,0
1916,2.1,1,0,0,96.1,0.8,0,0
1917,2.1,1,0,0,95.2,1.7,0,0
1918,2.3,1,0,0,93.7,3,0,0
