,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1800,20.5,10.4,65.4,0,3.8,0,0,0
1801,20.6,10.6,64.7,0,4.2,0,0,0
1802,20.9,10.7,63.8,0,4.6,0,0,0
1803,21.3,10.9,63.3,0,4.5,0,0,0
1804,21.7,11,62.9,0,4.4,0,0,0
1805,21.6,11.1,62.8,0,4.4,0,0,0
1806,21.8,11.2,62.6,0,4.4,0,0,0
1807,21.7,11.4,62.6,0,4.4,0,0,0
1808,21.7,11.5,62.5,0,4.3,0,0,0
1809,21.7,11.6,62.3,0,4.3,0,0,0
1810,21.7,11.8,62.2,0,4.3,0,0,0
1811,21.8,11.9,62.2,0,4.1,0,0,0
1812,21.7,12,61.8,0,4.4,0,0,0
1813,22,12.3,61.5,0,4.2,0,0,0
1814,22.1,12.6,61,0,4.3,0,0,0
1815,22.1,12.7,60.4,0,4.8,0,0,0
1816,22.1,12.8,60,0,5.1,0,0,0
1817,22.1,12.9,59.6,0,5.4,0,0,0
1818,22.3,13.1,59.8,0,4.8,0,0,0
1819,22.3,13.2,59.4,0,5.1,0,0,0
1820,22.2,13.2,58.9,0,5.8,0,0,0
1821,22.3,13.2,58.6,0,5.9,0,0,0
1822,22.3,13.2,58.3,0,6.2,0,0,0
1823,22.5,13.2,58.1,0,6.2,0,0,0
1824,22.4,13.1,57.6,0,6.8,0,0,0
1825,23.1,13.5,55.5,0,7.8,0,0,0
1826,23.2,13.6,55.2,0,8.1,0,0,0
1827,22.4,13.2,53.1,0,11.2,0,0,0
1828,22.4,13.3,52.6,0,11.7,0,0,0
1829,22.6,13.4,52.6,0,11.4,0,0,0
1830,22.4,13.4,52.2,0,12,0,0,0
1831,22.7,13.7,52.5,0,11.2,0,0,0
1832,22.5,13.6,51.6,0,12.3,0,0,0
1833,22.3,13.6,51,0,13.2,0,0,0
1834,21.9,13.4,49.9,0,14.8,0,0,0
1835,21.4,13.2,50.8,0,14.6,0,0,0
1836,21,13,49.5,0,16.5,0,0,0
1837,20.8,12.9,48.7,0,17.5,0,0,0
1838,20.6,13.1,48.1,0,18.2,0,0,0
1839,20.7,13.4,48.2,0,17.7,0,0,0
1840,20.7,13.7,47.9,0,17.8,0,0,0
1841,20.1,13.5,46.2,0,20.2,0,0,0
1842,20,13.7,45.7,0,20.6,0,0,0
1843,19.9,13.9,45.2,0,21,0,0,0
1844,19.8,14.1,44.7,0,21.4,0,0,0
1845,19.9,14.4,40.5,0,25.3,0,0,0
1846,19.7,14.5,39.8,0,26,0,0,0
1847,19,14.3,38.3,0,28.3,0,0,0
1848,20.2,15.3,40.7,0,23.8,0,0,0
1849,20,15.2,40.2,0,24.6,0,0,0
1850,19.4,14.8,38.8,0,27,0,0,0
1851,19.4,14.7,38.5,0,27.4,0,0,0
1852,18.9,14.4,37.4,0,29.4,0,0,0
1853,17.9,13.7,35.4,0,33,0,0,0
1854,17.1,13.1,33.6,0,36.1,0,0,0
1855,16.7,12.9,30.5,0,39.9,0.1,0,0
1856,16.4,12.7,29.9,0,41,0.1,0,0
1857,16.3,12.6,29.6,0,41.4,0.1,0,0
1858,16.4,12.8,29.8,0,40.9,0.1,0,0
1859,16.4,12.8,29.6,0,41.2,0.1,0,0
1860,15.8,12.4,28.5,0,43.3,0.1,0,0
1861,15.6,12,27.4,0,45,0.1,0,0
1862,15.3,11.7,26.7,0,46.2,0.1,0,0
1863,15.2,11.7,26.5,0,46.6,0.1,0,0
1864,14.8,11.4,25.7,0,48,0.1,0,0
1865,14.9,11.5,22.8,0,50.7,0.1,0,0
1866,14.3,11.1,21.8,0,52.7,0.1,0,0
1867,14.2,11,21.7,0,53,0.1,0,0
1868,14.1,11,21.4,0,53.5,0.1,0,0
1869,13.4,10.9,21.2,0,54.4,0.1,0,0
1870,14.3,11.7,22.5,0,51.4,0.1,0,0
1871,14.1,11.7,22.6,0,51.4,0.1,0,0
1872,12.7,10.6,20.4,0,56.2,0.1,0,0
1873,12.2,10.1,19.4,0,58.1,0.1,0,0
1874,12.9,10.7,18.2,0,58.1,0.1,0,0
1875,12.7,10.4,17.7,0,59,0.2,0,0
1876,12.7,10.4,17.7,0,58.9,0.2,0,0
1877,12.9,10.6,17.9,0,58.4,0.2,0,0
1878,12.8,10.5,17.6,0,58.8,0.2,0,0
1879,12.6,10.3,17.2,0,59.6,0.2,0,0
1880,11.8,9.6,16,0,62.5,0.2,0,0
1881,11.6,9.4,15.8,0,63,0.2,0,0
1882,11.3,9.1,15.2,0,64.2,0.2,0,0
1883,11,8.9,14.7,0,65.2,0.2,0,0
1884,11.3,9.1,15.1,0,64.3,0.2,0,0
1885,11.5,9.3,16.1,0,62.6,0.6,0,0
1886,11.6,9.3,16.1,0,62.3,0.6,0,0
1887,11.3,9,15.6,0,63.5,0.6,0,0
1888,11,8.8,15.2,0,64.4,0.6,0,0
1889,10.8,8.7,14.9,0,65,0.6,0,0
1890,10.2,8.2,14,0,67.1,0.5,0,0
1891,10.1,8.3,14,0,67.1,0.5,0,0
1892,10.1,8.4,13.9,0,67,0.5,0,0
1893,10.2,8.6,14.1,0,66.5,0.5,0,0
1894,9.9,8.2,13.6,0,67.8,0.5,0,0
1895,9.9,8.3,12.5,0,68.7,0.6,0,0
1896,9.7,8.1,12.2,0,69.5,0.6,0,0
1897,9.4,7.8,11.8,0,70.4,0.6,0,0
1898,9.2,7.7,11.5,0,71,0.6,0,0
1899,9,7.2,11.1,0,72.1,0.6,0,0
1900,8.5,6.8,10.6,0,73.6,0.5,0,0
1901,8.7,7.1,10.8,0,72.9,0.5,0,0
1902,9.1,7.4,11.3,0,71.6,0.6,0,0
1903,8.5,7.1,10.5,0,73.4,0.5,0,0
1904,8.6,7.3,10.7,0,72.8,0.5,0,0
1905,8.7,7.4,9.7,0,74,0.3,0,0
1906,8.3,7.1,9.2,0,75.3,0.3,0,0
1907,7.9,6.7,8.7,0,76.5,0.2,0,0
1908,7.8,6.7,8.7,0,76.5,0.2,0,0
1909,7.7,6.9,8.5,0,76.7,0.2,0,0
1910,7.7,7,8.4,0,76.7,0.2,0,0
1911,7.4,6.9,8.2,0,77.3,0.2,0,0
1912,7.4,6.9,8.1,0,77.4,0.2,0,0
1913,6.9,6.5,7.6,0,78.7,0.2,0,0
1914,7.8,8.6,10.2,0,73.4,0,0,0
1915,8.6,9.8,11.2,0,70.4,0,0,0
