,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1815,24,15.6,47.6,1.5,11.3,0,0,0
1816,23.9,15.5,47.8,1.5,11.3,0,0,0
1817,23.8,15.6,47.8,1.5,11.3,0,0,0
1818,24.3,15.7,47.3,1.5,11.3,0,0,0
1819,24.8,16,47,1.5,10.7,0,0,0
1820,25.1,16,46.1,1.5,11.3,0,0,0
1821,25.3,16,45.2,1.6,11.9,0,0,0
1822,25.6,16.1,44.3,1.6,12.4,0,0,0
1823,25.7,16,44.3,1.6,12.4,0,0,0
1824,25.7,15.9,44,1.6,12.8,0,0,0
1825,25.8,15.9,44,1.6,12.8,0,0,0
1826,25.9,15.8,44,1.6,12.7,0,0,0
1827,25.8,15.7,43.7,1.6,13.1,0,0,0
1828,25.9,15.7,43.8,1.6,13.1,0,0,0
1829,25.9,15.7,43.8,1.6,13,0,0,0
1830,25.8,15.6,43.6,1.6,13.4,0,0,0
1831,26,15.7,43.9,1.6,12.8,0,0,0
1832,25.8,15.5,43.4,1.6,13.8,0,0,0
1833,25.5,15.3,42.8,1.6,14.8,0,0,0
1834,25.6,15.3,42.8,1.6,14.7,0,0,0
1835,25.7,15.3,42.9,1.6,14.6,0,0,0
1836,25.5,15.1,42.3,1.6,15.5,0,0,0
1837,24.8,14.6,40.9,1.5,18.1,0,0,0
1838,24.6,14.4,41,1.5,18.5,0,0,0
1839,24.2,14.1,40.9,1.5,19.3,0,0,0
1840,23.9,13.8,40.9,1.5,19.9,0,0,0
1841,23.7,13.6,40.9,1.4,20.3,0,0,0
1842,23,13.1,40.3,1.4,22.2,0,0,0
1843,23.4,13.2,40.8,1.4,21.2,0,0,0
1844,23.2,13,40.3,1.4,22,0,0,0
1845,22.6,12.6,39.1,1.4,24.3,0,0,0
1846,22.5,12.4,38.6,1.4,25,0,0,0
1847,22.3,12.3,38.2,1.4,25.9,0,0,0
1848,22.9,12.6,38.2,1.4,24.9,0,0,0
1849,22.9,12.6,37.2,1.4,25.8,0,0,0
1850,22.7,12.5,35.7,1.5,27.6,0,0,0
1851,22.4,12.3,34,1.4,30,0,0,0
1852,21.6,11.8,32.6,1.4,32.5,0,0,0
1853,20.9,11.5,32.8,1.3,33.6,0,0,0
1854,19.6,10.9,31.3,1.3,36.9,0,0,0
1855,18.3,10.4,29.9,1.2,40.2,0,0,0
1856,17.7,10.1,29.5,1.2,41.5,0,0,0
1857,17.2,9.9,29.1,1.1,42.6,0,0,0
1858,16.6,9.6,28.5,1.1,44.2,0,0,0
1859,17.1,9.9,29.1,1.1,42.7,0,0,0
1860,16.7,9.7,28.1,1.1,44.4,0,0,0
1861,15.9,9.3,26.4,1,47.3,0,0,0
1862,15.4,8.7,25.1,1,49.7,0,0,0
1863,15,8.3,24.1,1,51.7,0,0,0
1864,14.1,7.6,22.5,0.9,54.9,0,0,0
1865,13.2,7.5,21.1,0.9,57.2,0,0,0
1866,13.4,7.5,21,0.9,57,0.1,0,0
1867,12.8,7.2,19.7,0.8,59.3,0.2,0,0
1868,12.3,6.9,18.6,0.8,61,0.2,0,0
1869,12.1,6.8,17.9,0.8,62.1,0.3,0,0
1870,12.3,6.9,17.8,0.8,61.9,0.3,0,0
1871,11.6,6.5,16.4,0.8,64.3,0.4,0,0
1872,11.1,6.3,15.4,0.7,66.1,0.4,0,0
1873,10.8,6.1,14.5,0.7,67.5,0.5,0,0
1874,10.9,6.2,14,0.7,67.8,0.4,0,0
1875,10.9,6.2,13.2,0.7,68.5,0.5,0,0
1876,10.8,6.2,13.2,0.7,68.6,0.6,0,0
1877,11.1,6.3,13.4,0.7,67.8,0.7,0,0
1878,10.9,6.2,13.7,0.7,67.9,0.6,0,0
1879,10.7,6.1,11.9,0.7,70,0.6,0,0
1880,9.6,5.5,11,0.6,72.8,0.5,0,0
1881,9.4,5.4,10.7,0.6,73.2,0.6,0,0
1882,9,5.2,10.5,0.6,74.1,0.7,0,0
1883,8.7,5.2,8.8,0.6,76.1,0.7,0,0
1884,8.6,5.1,8.7,0.5,76.1,0.9,0,0
1885,8.5,5.1,8.7,0.5,76.3,0.9,0,0
1886,8.4,5.1,9.1,0.5,76.1,0.8,0,0
1887,8.2,4.9,9.3,0.5,76.2,0.9,0,0
1888,7.7,4.7,8.2,0.4,78,1,0,0
1889,7.5,4.5,7.5,0.4,79.1,1,0,0
1890,7.3,4.4,6.9,0.4,79.9,1,0,0
1891,7,4.3,6.7,0.4,80.6,1,0,0
1892,7.2,4.4,6.7,0.4,80.1,1.1,0,0
1893,7.1,4.4,7,0.4,80.1,1.1,0,0
1894,6.9,4.3,7.2,0.4,80.1,1.1,0,0
1895,6.7,4.2,7.1,0.3,80.5,1.1,0,0
1896,6.5,4,6.3,0.3,81.8,1.1,0,0
1897,6.2,3.8,5.7,0.3,82.8,1.1,0,0
1898,6.1,3.7,5.5,0.3,83.3,1.1,0,0
1899,5.9,3.6,5.1,0.3,84.1,1,0,0
1900,5.6,3.4,4.8,0.3,85,1,0,0
1901,5.7,3.4,4.7,0.3,84.9,1,0,0
1902,5.9,3.6,4.7,0.3,84.5,1,0,0
1903,5.6,3.4,4.4,0.2,85.4,1,0,0
1904,5.5,3.3,4.2,0.2,85.8,1,0,0
1905,5.4,3.3,4,0.2,86.1,1,0,0
1906,4.9,3,3.6,0.2,87.4,0.9,0,0
1907,4.7,2.9,3.3,0.2,88,0.9,0,0
1908,4.7,2.9,3.2,0.2,88.1,0.9,0,0
1909,4.8,2.9,3.2,0.2,88,0.9,0,0
1910,4.8,3,3.1,0.2,88,0.9,0,0
1911,4.7,2.9,3,0.2,88.3,0.8,0,0
1912,4.5,2.8,2.8,0.2,88.9,0.9,0,0
1913,4.3,2.7,2.7,0.1,89.5,0.8,0,0
1914,4.5,2.4,2.9,0.1,89.9,0.1,0,0
1915,4.8,2.6,3.1,0.1,89.3,0.1,0,0
1916,4.4,2.4,2.9,0.1,90.1,0.1,0,0
1917,4.2,2.3,2.8,0.1,90.5,0.1,0,0
1918,4.3,2.4,3,0.1,90.2,0,0,0
1919,5.4,3,3.8,0.1,87.6,0,0,0
1920,5,2.9,3.6,0.1,88.4,0,0,0
1921,4.5,2.6,3.3,0.1,89.5,0,0,0
1922,4,2.4,3.1,0.1,90.4,0,0,0
1923,5.3,3.1,3.9,0.1,87,0.5,0,0
1924,4,2.4,2.9,0.1,90.1,0.6,0,0
