,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
1861,21.4,18.8,51.3,1,7.5,0,0,0
1862,21.8,18.1,52.3,1,6.8,0,0,0
1863,22.3,17.5,52.4,1,6.7,0,0,0
1864,23.2,17,52.4,1,6.4,0,0,0
1865,22.4,16.8,53,1,6.7,0,0,0
1866,21.3,17,54,1,6.5,0.2,0,0
1867,22.3,17.9,51.3,1.1,7.1,0.2,0,0
1868,22.5,17.9,51.1,1,7,0.5,0,0
1869,23.1,18.2,50.5,1,6.9,0.2,0,0
1870,22.8,18.8,49.9,1,7,0.4,0,0
1871,23,18.8,50.9,1,5.8,0.4,0,0
1872,23.3,19.4,48.8,1,7,0.4,0,0
1873,23.2,19.7,48.9,1,6.8,0.4,0,0
1874,22.9,19.5,48.9,1,7.2,0.4,0,0
1875,22.9,19,49.4,1,7.2,0.4,0,0
1876,22.2,18.6,48.6,1,9.2,0.4,0,0
1877,22.6,19.1,48.1,1,8.6,0.4,0,0
1878,23.2,19.3,47.2,1,8.8,0.4,0,0
1879,23,18.5,47.1,1,9.8,0.6,0,0
1880,22.4,18.4,46.8,1,10.8,0.6,0,0
1881,22.2,18.4,45.5,0.9,12.4,0.6,0,0
1882,22.2,18.6,44.3,0.9,13.4,0.6,0,0
1883,22,18.6,43.9,0.9,14,0.6,0,0
1884,21.7,18.7,42.9,0.9,15.2,0.5,0,0
1885,21.7,18.5,41.5,0.9,16.8,0.7,0,0
1886,22.2,18.8,40.9,0.9,16.7,0.5,0,0
1887,21.8,18.1,39.1,0.8,19.6,0.5,0,0
1888,21.3,17.9,38.7,0.8,20.8,0.5,0,0
1889,21.5,17.9,38,0.7,21.4,0.5,0,0
1890,21.2,17.4,37.2,0.7,23.1,0.5,0,0
1891,21.5,18.1,37.8,0.7,21.5,0.5,0,0
1892,22,17.9,37.9,0.6,21.1,0.5,0,0
1893,22.6,18.3,37.2,0.6,20.7,0.5,0,0
1894,21.3,17.5,35.6,0.6,24.5,0.5,0,0
1895,22.2,18.1,35.7,0.5,22.9,0.5,0,0
1896,23,18.3,35.7,0.5,22,0.5,0,0
