,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1800,18.2,15.4,38.2,18.8,9.4,0,0,0
1801,18.2,15.4,38.2,18.6,9.7,0,0,0
1802,18.1,15.3,38.1,18.5,10,0,0,0
1803,18.5,15.7,39.3,18.9,7.5,0,0,0
1804,18.4,15.6,39.1,18.6,8.3,0,0,0
1805,18.4,15.6,39.2,18.4,8.4,0,0,0
1806,18.3,15.6,39.2,18.2,8.8,0,0,0
1807,18.6,15.9,40,18.3,7.1,0,0,0
1808,18.8,16.1,40.7,18.5,5.8,0,0,0
1809,18.8,16.2,41,18.3,5.7,0,0,0
1810,18.9,16.3,41.4,18.3,5,0,0,0
1811,18.9,16.4,41.6,18.3,4.8,0,0,0
1812,18.9,16.4,41.8,18.2,4.7,0,0,0
1813,18.8,16,41.8,18,5.2,0,0,0
1814,18.9,15.8,42.2,17.9,5.2,0,0,0
1815,19,15.5,42.3,17.7,5.5,0,0,0
1816,19.2,15.2,42.8,17.7,5.1,0,0,0
1817,18.9,14.7,42.1,17.3,7.1,0,0,0
1818,18.9,13.8,42.3,17.2,7.8,0,0,0
1819,18.7,14.6,42,16.9,7.8,0,0,0
1820,18.4,15.4,41.6,16.6,8.1,0,0,0
1821,18.5,15,41.8,16.4,8.3,0,0,0
1822,18.7,14.7,42.2,16.3,8.1,0,0,0
1823,18.8,14.6,42.3,16.2,8.2,0,0,0
1824,18.6,14.3,41.8,15.8,9.6,0,0,0
1825,18.4,13.9,41.3,15.3,11.1,0,0,0
1826,18.4,13.6,41.3,15.2,11.6,0,0,0
1827,18.3,13.5,41.3,14.9,12,0,0,0
1828,18.1,13.3,41,14.6,13,0,0,0
1829,18.3,13.3,41.4,14.6,12.4,0,0,0
1830,18.2,13.5,41,14.4,12.9,0,0,0
1831,18.8,13.9,42.3,14.8,10.3,0,0,0
1832,18.3,13.6,40.2,14.4,13.5,0,0,0
1833,18.6,13.8,41,14.5,12.2,0,0,0
1834,18.9,14.1,41.9,14.7,10.4,0,0,0
1835,18.4,13.6,42.1,14.2,11.6,0,0,0
1836,18,13.3,42.7,13.9,12.1,0,0,0
1837,17.5,12.9,43.1,13.4,13.2,0,0,0
1838,16.8,12.3,43.9,12.6,14.3,0,0,0
1839,16.8,12.2,44.9,12.5,13.5,0,0,0
1840,16.4,11.8,44.4,12,15.4,0,0,0
1841,17.2,12.4,43.3,12.6,14.6,0,0,0
1842,17.3,12.4,43.6,12.5,14.1,0,0,0
1843,17.3,12.4,42.8,12.4,15.1,0,0,0
1844,17.7,12.7,42.9,12.6,14.1,0,0,0
1845,17,12.1,39.7,12,19.2,0,0,0
1846,17,12.2,44.4,12,14.4,0,0,0
1847,16.5,12,42,11.6,17.9,0,0,0
1848,16.9,12.4,41.1,12,17.5,0,0,0
1849,17,12.6,40.9,12,17.5,0,0,0
1850,16.4,12.2,41.1,11.7,18.6,0,0,0
1851,16.1,12,43.4,11.4,17,0,0,0
1852,15.8,12.1,42.1,11.2,18.7,0,0,0
1853,16.5,12.3,41.1,11.6,18.6,0,0,0
1854,15.7,11.7,40.4,11.3,20.9,0,0,0
1855,15.6,11.5,38.6,11.3,23,0,0,0
1856,14.8,10.9,42.6,10.7,20.9,0,0,0
1857,15,11.1,42.3,10.9,20.8,0,0,0
1858,15.1,11,40.1,10.9,23,0,0,0
1859,15,11.2,39,10.9,24,0,0,0
1860,14.3,10.9,36.2,10.4,28.2,0,0,0
1861,14.6,11.3,38.4,10.5,25.2,0,0,0
1862,14.2,11.1,40.2,10.3,24.2,0,0,0
1863,14.2,11.2,40.6,10.3,23.6,0,0,0
1864,12.9,10.1,34.2,9.3,33.3,0.2,0,0
1865,12.4,9.6,32.5,8.9,36.4,0.2,0,0
1866,12.2,9.4,31.6,8.7,37.8,0.2,0,0
1867,12.2,9.4,31.4,8.8,37.7,0.4,0,0
1868,11.9,9.1,32.1,8.5,37.8,0.5,0,0
1869,11.9,9,31.7,8.4,38.5,0.5,0,0
1870,11.5,8.6,30.3,8,41.2,0.5,0,0
1871,11.3,8.4,29.7,7.8,42.1,0.6,0,0
1872,11.2,8.2,29.2,7.6,43.1,0.6,0,0
1873,11.3,8.4,30.7,7.6,41.2,0.8,0,0
1874,11.8,8.8,31.6,7.6,39.3,0.9,0,0
1875,11.3,8.4,29.7,7.2,42.4,1,0,0
1876,10.8,8.2,27.8,6.7,45.6,0.9,0,0
1877,10.9,8.3,27.4,6.6,45.8,1,0,0
1878,11,8.4,23.8,6.6,49,1.1,0,0
1879,10.8,8.2,22.8,6.2,50.9,1.2,0,0
1880,10.4,7.8,21.4,5.7,53.4,1.3,0,0
1881,10.3,7.5,20.9,5.5,54.4,1.4,0,0
1882,10.3,7.4,20.4,5.3,55.1,1.5,0,0
1883,10.1,7.1,17.6,5.1,58.4,1.6,0,0
1884,10.4,7.3,17.9,5.2,57.3,1.9,0,0
1885,10.5,7.4,17.7,5.2,57.3,1.9,0,0
1886,10.3,7.2,17,5,58.4,2.1,0,0
1887,10.4,7.2,16.8,4.9,59.7,0.9,0,0
1888,9.8,6.7,15.5,4.4,61.5,2,0,0
1889,10.1,6.9,15.6,4.5,60.8,2.3,0,0
1890,10.4,7,15.7,4.5,60,2.4,0,0
1891,10.3,6.9,15.3,4.4,60.5,2.6,0,0
1892,10,6.5,16.1,4.1,60.6,2.7,0,0
1893,10.2,6.5,14.2,4.1,62.1,2.9,0,0
1894,10.2,6.4,14.1,4,62.1,3.1,0,0
1895,10.3,6.4,13.5,3.9,62.6,3.3,0,0
1896,9.9,6.2,13.3,3.7,63.7,3.2,0,0
1897,9.5,6,13,3.5,64.8,3.2,0,0
1898,9.8,6.2,13.8,3.5,63.2,3.4,0,0
1899,9.7,6.2,14.8,3.3,62.8,3.3,0,0
1900,9.3,6.1,11.8,3.1,66.6,3.2,0,0
1901,9.7,6.4,10,3.1,67.3,3.5,0,0
1902,10,6.6,9.6,3.2,66.9,3.7,0,0
1903,9.6,6.1,9.4,2.9,68.3,3.6,0,0
1904,9.3,5.8,8.9,2.7,70,3.2,0,0
1905,9.2,5.8,8.9,2.7,70.2,3.2,0,0
1906,8.8,5.6,8.3,2.5,71.8,3.1,0,0
1907,8.7,5.5,8,2.4,72.5,3,0,0
1908,8.6,5.5,7.9,2.3,72.8,2.9,0,0
1909,8.4,5.4,7.5,2.2,73.8,2.8,0,0
