,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1856,18.8,17.6,57.4,1.2,4.9,0,0,0
1857,19,17.8,58,1.3,3.9,0,0,0
1858,19.1,17.9,57.2,1.3,4.6,0,0,0
1859,18.9,17.6,56.8,1.3,5.4,0,0,0
1860,19.1,17.9,57.3,1.3,4.4,0,0,0
1861,19.3,18,57.7,1.3,3.7,0,0,0
1862,19.2,17.9,57.7,1.3,3.8,0,0,0
1863,19.2,17.9,57.7,1.3,3.9,0,0,0
1864,19.2,17.9,57.6,1.4,4,0,0,0
1865,19.2,17.9,57.5,1.3,4.1,0,0,0
1866,18.7,17.5,56.4,1.3,6.1,0.1,0,0
1867,18.9,17.6,56.8,1.3,5.3,0.1,0,0
1868,18.6,17.3,55.6,1.3,7.1,0.1,0,0
1869,19,17.7,56.9,1.3,4.9,0.2,0,0
1870,18.7,17.4,56,1.3,6.4,0.2,0,0
1871,19,17.6,56.8,1.3,5.2,0.1,0,0
1872,18.8,17.4,56.7,1.3,5.6,0.2,0,0
1873,18.3,16.9,55.5,1.2,7.8,0.2,0,0
1874,18.7,17.3,56.7,1.3,5.8,0.2,0,0
1875,18.5,17,56.1,1.2,6.9,0.2,0,0
1876,18.6,17.1,56,1.2,6.9,0.2,0,0
1877,18.4,16.9,55.8,1.2,7.5,0.3,0,0
1878,18.4,16.8,55.5,1.2,7.8,0.3,0,0
1879,18.4,16.7,55.7,1.2,7.6,0.4,0,0
1880,18.1,16.4,54.5,1.2,9.5,0.3,0,0
1881,18.2,16.3,54.5,1.2,9.5,0.4,0,0
1882,17.9,16,54,1.1,10.6,0.4,0,0
1883,18,15.9,53.6,1.1,11.1,0.3,0,0
1884,17.9,15.7,53.2,1.1,11.7,0.4,0,0
1885,18.2,15.9,53.6,1.1,10.8,0.4,0,0
1886,17.9,15.5,53.4,1.1,11.7,0.4,0,0
1887,17.7,15.3,52.7,1.1,12.8,0.4,0,0
1888,17.6,15.1,52.4,1.1,13.3,0.5,0,0
1889,17.3,14.7,51.1,1.1,15.3,0.5,0,0
1890,17.3,14.6,50.6,1.1,15.9,0.5,0,0
1891,17.2,14.5,50.5,1.1,16.1,0.5,0,0
1892,17.4,14.6,50.9,1.1,15.3,0.6,0,0
1893,17.8,14.9,52.1,1.2,13.4,0.6,0,0
1894,17.2,14.4,50.8,1.2,15.7,0.6,0,0
1895,17.5,14.6,51.4,1.2,14.8,0.6,0,0
1896,17.5,14.6,51.3,1.2,14.8,0.5,0,0
1897,17.4,14.5,51.3,1.2,15,0.6,0,0
1898,17,14.1,50.1,1.2,17,0.6,0,0
1899,17.1,14.1,50.6,1.2,16.4,0.6,0,0
1900,17,14,50.2,1.2,17.2,0.5,0,0
1901,17,14,50.3,1.2,16.9,0.6,0,0
1902,16.7,13.6,49.8,1.2,18.2,0.6,0,0
1903,16.6,13.5,49.3,1.1,18.8,0.6,0,0
1904,16.4,13.2,48.7,1.1,20.1,0.5,0,0
1905,16.6,13.3,48.8,1,19.7,0.6,0,0
1906,16.2,12.9,47.6,1,21.7,0.6,0,0
1907,15.9,12.6,46.7,1,23.3,0.6,0,0
1908,15.9,12.5,46.7,0.9,23.4,0.6,0,0
1909,15.9,12.5,46.7,1,23.3,0.6,0,0
1910,15.8,12.3,46.4,0.9,23.7,0.8,0,0
1911,15.7,12.2,46.2,0.9,24.2,0.8,0,0
1912,15.3,11.9,45.5,0.9,25.8,0.6,0,0
1913,15.1,11.7,44.8,0.9,26.9,0.7,0,0
1914,15.4,12,46.4,0.9,24.8,0.5,0,0
1915,15.6,12.2,47.9,0.9,22.9,0.5,0,0
1916,15.8,12.3,49.6,0.9,20.6,0.8,0,0
1917,17.4,13.6,57.8,0.9,9.4,0.9,0,0
1918,17.8,13.8,61.2,0.9,5.9,0.3,0,0
1919,16.4,12.8,55.7,0.9,13.1,1.1,0,0
1920,16.2,12.6,56.1,0.9,12.9,1.3,0,0
1921,17.2,13.3,53.2,0.9,14,1.3,0,0
1922,16.3,12.4,49.5,0.9,19.4,1.4,0,0.1
1923,16.8,12.6,51,0.9,16.9,1.7,0,0.1
1924,16.3,12.1,49.6,0.8,19.4,1.8,0,0.1
1925,16.1,11.8,49.4,0.8,20.1,1.6,0,0.1
1926,16.4,11.9,50.1,0.8,18.7,2,0,0.1
1927,15.7,11.3,47.9,0.8,21.9,2.2,0,0.1
1928,15.2,10.8,47.2,0.8,23,2.9,0,0.2
1929,15.4,10.8,47.8,0.8,22.3,2.8,0,0.2
1930,15,10.4,46.7,0.7,23.8,3.2,0,0.2
1931,15.4,10.5,47.5,0.7,22.4,3.2,0,0.2
1932,16,10.8,49.4,0.7,19.5,3.3,0,0.3
1933,15.4,10.3,47.6,0.7,22.2,3.6,0,0.2
1934,15.4,10.2,47.2,0.7,22.1,4.1,0,0.2
1935,15.3,10,46.7,0.6,22.8,4.4,0,0.3
1936,15.6,10,47.9,0.6,21.2,4.3,0,0.3
1937,14.7,9.3,45.2,0.6,25.3,4.6,0,0.3
1938,15.2,9.5,47,0.6,22.5,4.9,0,0.3
1939,14.9,9.1,46.9,0.6,23,5.1,0,0.4
1940,15.9,9.4,50.8,0.6,17.4,5.6,0,0.4
1941,15.9,9.3,51.9,0.6,17,4.9,0,0.4
1942,16.4,9.4,56.7,0.6,14.9,1.6,0,0.5
1943,16,9.1,56.9,0.6,14.2,2.8,0,0.4
1944,15.1,8.5,55.9,0.5,14.1,5.5,0,0.4
1945,15.7,8.6,56.1,0.5,13.7,5,0,0.4
1946,15.2,8.2,53.4,0.5,13.9,8.2,0,0.6
1947,14.3,7.6,47.4,0.4,17.8,11.9,0,0.6
1948,15.4,8.1,45.1,0.5,16.5,13.8,0,0.7
1949,15.1,8,44.6,0.5,18,13.4,0,0.5
1950,16.2,8,44.3,0.5,15.4,14.9,0,0.8
1951,16,7.9,43.6,0.5,13.5,17,0,1.5
1952,15.4,8,43.9,0.4,11.3,18.8,0,2.2
1953,15.5,7.7,42.6,0.4,12.6,19.5,0,1.8
1954,15.4,7.6,42.4,0.4,10.5,21.2,0,2.5
1955,14.6,7.3,41.1,0.4,10.6,23.1,0,2.9
1956,14.8,6.9,40.5,0.4,10.5,23.5,0,3.3
1957,14.6,6.7,40.2,0.4,12.3,23,0,3
1958,14.1,6.5,40,0.4,10.6,24.4,0,4
1959,14.2,6.2,39.3,0.3,9.2,26.2,0,4.5
