,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1850,19.8,30.1,46.3,2.2,1.6,0,0,0
1851,19.4,29.6,45.6,2.2,3.2,0,0,0
1852,19.4,29.6,45.6,2.2,3.2,0,0,0
1853,19.2,29.6,45.7,2.3,3.2,0,0,0
1854,19,29.7,45.7,2.3,3.3,0,0,0
1855,18.3,29.9,46.1,2.4,3.3,0,0,0
1856,19.1,28.8,44.4,2.3,5.4,0,0,0
1857,19.6,28.6,44.1,2.3,5.4,0,0,0
1858,20.2,28.4,43.7,2.3,5.4,0,0,0
1859,19.7,28.5,43.9,2.4,5.4,0,0,0
1860,19.5,28.6,44,2.4,5.5,0,0,0
1861,19.2,28,43,2.5,7.3,0,0,0
1862,19,27.8,42.6,2.6,8,0,0,0
1863,18.7,27.6,42.2,2.7,8.8,0,0,0
1864,18.8,27.7,42.2,2.8,8.5,0,0,0
1865,19.6,27.4,41.8,2.9,8.3,0,0,0
1866,18.4,27.8,42.3,3,8.5,0,0,0
1867,18.7,27.4,41.7,3.1,9.1,0,0,0
1868,19.5,27,41,3.2,9.4,0,0,0
1869,20.3,26.7,40.4,3.2,9.4,0,0,0
1870,19.7,26.4,40,3.3,10.2,0.3,0,0
1871,19,26.5,40.1,3.4,10.6,0.3,0,0
1872,18.6,26.6,40.1,3.6,10.9,0.2,0,0
1873,20,25.9,39,3.6,11.3,0.3,0,0
1874,18,26.5,39.9,3.8,11.5,0.4,0,0
1875,17.5,26.3,39.5,3.9,12.5,0.3,0,0
1876,18.1,25.6,38.5,3.9,13.5,0.3,0,0
1877,19.7,25,37.6,3.9,13.3,0.5,0,0
1878,20,25,37.7,4,13,0.3,0,0
1879,17.7,25.2,38.2,4.2,14.4,0.3,0,0
1880,19.4,24,36.6,4.1,15.5,0.4,0,0
1881,18.2,23,35.3,4.1,18.9,0.5,0,0
1882,18,22.7,35,4.2,19.7,0.3,0,0
1883,18.5,22.6,35.1,4.3,19.1,0.4,0,0
1884,19.1,22,34.4,4.4,19.6,0.4,0,0
1885,17.6,22.2,34.9,4.6,20.2,0.6,0,0
1886,17.1,21.8,34.6,4.6,21.4,0.4,0,0
1887,17.8,21.3,34,4.7,21.8,0.4,0,0
1888,17.6,20.7,33.2,4.7,23.2,0.6,0,0
1889,16.9,20.2,32.8,4.8,24.9,0.4,0,0
1890,17.1,19.5,31.8,4.8,26.3,0.5,0,0
1891,16.8,19.1,31.4,4.8,27.3,0.5,0,0
1892,18.8,18.4,30.4,4.8,27.2,0.4,0,0
1893,16.6,18.7,31.1,5,28,0.5,0,0
1894,17.2,17.7,29.7,4.9,30,0.4,0,0
1895,16.7,17.7,29.9,5.1,30.3,0.5,0,0
1896,18,16.7,28.5,5,31.4,0.4,0,0
1897,15.7,16.8,28.4,5.1,33.6,0.3,0,0
1898,17.3,16.6,28,5.1,32.7,0.3,0,0
1899,15.5,16,26.8,5,36.4,0.3,0,0
1900,15.8,15.6,25.8,4.9,37.5,0.5,0,0
1901,15.6,15,27.2,4.8,36.9,0.4,0,0.1
1902,16.5,14.4,28,4.7,36,0.4,0,0.1
1903,16.9,14.8,26.2,4.9,36.8,0.3,0,0.1
1904,16.5,15.2,22.3,5.1,40.5,0.3,0,0.1
1905,16.3,14.8,22.5,5.1,40.9,0.3,0,0.1
1906,16.8,14.4,21.8,5,41.4,0.5,0,0.1
1907,16.8,14.2,21.8,5,41.9,0.2,0,0.1
1908,14.7,14.3,22.5,5.1,42.9,0.3,0,0.1
1909,14.8,14.1,22.2,5.1,43.3,0.4,0,0.1
1910,16.4,13.3,22.6,5,42.3,0.3,0,0.2
1911,15,13.6,21.3,5.6,43.9,0.3,0,0.2
1912,15.3,13.2,20.6,5.8,44.6,0.3,0,0.2
1913,12.9,13.2,20.7,6.3,46.3,0.3,0,0.2
1914,15.8,14,19.9,7.2,42.4,0.3,0,0.4
1915,15.2,15.5,20.1,8.2,40.2,0.3,0,0.4
1916,15,14.8,18.2,8.1,43.1,0.3,0,0.4
1917,15.4,15.6,19.2,8.4,40.5,0.3,0,0.6
1918,15.5,15.2,18.7,8,41.9,0,0,0.6
1919,17.9,15.6,18.6,8.2,38.8,0.3,0,0.6
1920,17.4,12,27.2,8.1,34.1,0.5,0,0.7
1921,16.1,12.1,25.9,8.2,36.4,0.5,0,0.8
1922,17.1,12.6,24,8.2,36.4,0.7,0,0.9
1923,16.5,12.1,23.2,7.5,39,0.9,0,0.9
1924,16.1,12.2,21.8,7.3,40.3,1.3,0,1
1925,12.7,12.3,28.7,6.6,37.2,1.4,0,1
1926,17,13.1,20.5,7.2,39.2,1.7,0,1.4
1927,16.2,13.2,17.5,6.8,42.9,2.1,0,1.4
1928,16.9,10.9,18.3,7,42.9,2.6,0,1.5
1929,16.1,10.6,17.6,6.5,44.8,2.9,0,1.5
1930,16.4,11.1,17.3,6.6,43.1,3.8,0,1.7
1931,16.3,12.5,18.7,6.5,39.8,4.6,0,1.7
1932,16.9,13.3,18.2,6.6,38.4,4.7,0,1.7
1933,17.8,14.5,19.2,7,35.2,4.6,0,1.9
1934,17.9,12.2,19.5,7.1,35.1,6.1,0,2
1935,16.3,14.2,18,6.5,37.8,5.3,0,1.9
1936,,,,,,,,
1937,,,,,,,,
1938,,,,,,,,
1939,,,,,,,,
1940,13.6,15,22.6,0,40.7,6.3,0,1.8
1941,14.1,15.7,20.4,0,42.8,4.8,0,2.1
1942,14.1,15.8,19.7,0,45.6,2.5,0,2.4
1943,14.3,15.6,13.7,0,49.5,4.4,0,2.5
1944,14.3,15.5,13.4,0,50.8,3.7,0,2.4
1945,14,15.4,13.6,0,50.5,4.7,0,1.9
1946,13.3,14.6,13.8,0,49.4,6.4,0,2.5
1947,13.3,14.6,13,0,48.4,7.9,0,2.8
1948,13,14.2,12.9,0,49.4,7.9,0,2.7
1949,12.8,13.8,11.8,0,50,9.5,0,2
1950,12.7,14,11.9,0,48.8,10.2,0,2.4
1951,13,13.9,11.9,0,47.5,10.4,0,3.3
1952,12.4,12.8,11.1,0,48.8,11.5,0,3.4
1953,12.2,12.4,10.3,0,48.4,13.6,0,3.2
1954,12.2,12,10,0,47.1,15.5,0,3.2
1955,12,11.5,10.1,0,45.2,17.6,0,3.6
1956,11.5,10.8,9.5,0,44.3,19.8,0,4.2
1957,10.9,9.8,9.4,0,45.9,20.8,0,3.3
