,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1800,8.4,11.4,80,0,0.2,0,0,0
1801,8.4,11.5,79.8,0,0.3,0,0,0
1802,8.5,11.6,79.7,0,0.2,0,0,0
1803,8.5,11.6,79.6,0,0.3,0,0,0
1804,8.6,11.7,79.4,0,0.4,0,0,0
1805,8.6,11.8,79.4,0,0.3,0,0,0
1806,8.6,11.8,79.1,0,0.5,0,0,0
1807,8.7,12,78.7,0,0.6,0,0,0
1808,8.7,12.1,78.3,0,0.8,0,0,0
1809,9,12.6,77.6,0,0.7,0,0,0
1810,9,12.8,77.6,0,0.5,0,0,0
1811,9.1,12.9,77.7,0,0.4,0,0,0
1812,9.1,12.9,77.6,0,0.4,0,0,0
1813,9.1,13,77.5,0,0.3,0,0,0
1814,9.2,13,77.5,0,0.3,0,0,0
1815,9.2,13,77.4,0,0.5,0,0,0
1816,9.1,12.9,77.5,0,0.5,0,0,0
1817,9.2,12.9,77.4,0,0.5,0,0,0
1818,9.2,12.9,77.5,0,0.4,0,0,0
1819,9.2,12.9,77.4,0,0.4,0,0,0
1820,9.3,12.9,77.4,0,0.4,0,0,0
1821,9.4,13,77.2,0,0.4,0,0,0
1822,9.5,13,77.1,0,0.4,0,0,0
1823,9.5,12.9,77.1,0,0.4,0,0,0
1824,9.6,12.8,77.1,0,0.4,0,0,0
1825,9.7,12.8,77.2,0,0.4,0,0,0
1826,9.8,12.8,77,0,0.4,0,0,0
1827,9.9,12.8,76.7,0,0.5,0,0,0
1828,9.9,12.9,76.8,0,0.4,0,0,0
1829,10.1,13.1,76.5,0,0.4,0,0,0
1830,10.1,13,76.2,0,0.6,0,0,0
1831,10.2,13.1,76.3,0,0.4,0,0,0
1832,10.3,13.2,76.1,0,0.4,0,0,0
1833,10.4,13.2,76,0,0.4,0,0,0
1834,10.5,13.2,75.8,0,0.6,0,0,0
1835,10.5,13.1,75.7,0,0.7,0,0,0
1836,10.6,13.1,75.7,0,0.7,0,0,0
1837,10.6,13.1,75.7,0,0.6,0,0,0
1838,10.7,13.2,75.4,0,0.7,0,0,0
1839,10.7,13.2,75.3,0,0.8,0,0,0
1840,10.8,13.2,75.2,0,0.8,0,0,0
1841,10.9,13.2,75.1,0,0.8,0,0,0
1842,10.9,13.2,74.8,0,1.1,0,0,0
1843,11,13.3,74.7,0,0.9,0,0,0
1844,11.2,13.4,74.5,0,0.9,0,0,0
1845,11.3,13.5,74.1,0,1.2,0,0,0
1846,11.3,13.4,74.1,0,1.1,0,0,0
1847,11.4,13.5,74.1,0,1,0,0,0
1848,11.4,13.5,73.6,0,1.5,0,0,0
1849,11.5,13.6,73.1,0,1.7,0,0,0
1850,11.5,13.6,72.9,0,2,0,0,0
1851,11.5,13.5,72.9,0,2.1,0,0,0
1852,11.6,13.6,72.8,0,2.1,0,0,0
1853,11.6,13.7,72.7,0,2,0,0,0
1854,11.6,13.5,72.4,0,2.4,0,0,0
1855,11.5,13.4,72.5,0,2.5,0,0,0
1856,11.5,13.4,71.6,0,3.6,0,0,0
1857,11.4,13.3,70.8,0,4.5,0,0,0
1858,11.5,13.3,71,0,4.3,0,0,0
1859,11.3,13.1,70.1,0,5.5,0,0,0
1860,11.4,13,70.2,0,5.4,0,0,0
1861,11.3,12.8,69.2,0,6.7,0,0,0
1862,11.3,12.7,69.2,0,6.8,0,0,0
1863,11.4,12.7,69.2,0,6.7,0,0,0
1864,11.3,12.7,69,0,7,0,0,0
1865,11.4,12.5,68.9,0,7.2,0,0,0
1866,11.4,12.4,68.9,0,7.3,0,0,0
1867,11.5,12.3,69.3,0,6.9,0,0,0
1868,11.4,12.2,68.4,0,7.9,0.1,0,0
1869,11.4,12.3,69.3,0,7,0.1,0,0
1870,11.3,12,68,0,8.6,0.1,0,0
1871,11.3,12.2,67.2,0,9.1,0.1,0,0
1872,10.8,12,66.1,0,11,0.2,0,0
1873,10.9,12.3,65.8,0,10.8,0.2,0,0
1874,11.1,12.2,64.6,0,11.9,0.2,0,0
1875,10.8,12.1,63.1,0,13.8,0.2,0,0
1876,10.7,12,62.5,0,14.5,0.2,0,0
1877,10.7,11.9,61.9,0,15.2,0.3,0,0
1878,11.1,12.3,63.1,0,13.2,0.3,0,0
1879,11.1,12.3,63.1,0,13.1,0.3,0,0
1880,10.6,11.8,61.1,0,16.2,0.3,0,0
1881,10.7,11.8,61.4,0,15.7,0.4,0,0
1882,10.5,11.8,59.9,0,17.4,0.4,0,0
1883,10.4,11.7,59.2,0,18.3,0.3,0,0
1884,10.4,11.6,58.7,0,18.8,0.5,0,0
1885,10.3,11.4,57.9,0,19.9,0.5,0,0
1886,10.5,11.5,57.7,0,19.6,0.6,0,0
1887,10.5,11.4,57.5,0,19.9,0.6,0,0
1888,10.4,11.2,56,0,21.9,0.6,0,0
1889,10.1,10.7,53.9,0,24.3,0.9,0,0
1890,10,10.7,54.1,0,24.4,0.8,0,0
1891,9.9,10.6,53.1,0,25.5,0.9,0,0
1892,9.9,10.7,53,0,25.5,0.9,0,0
1893,10,10.7,52.6,0,25.7,1,0,0
1894,9.5,10.2,50.4,0,29,0.9,0,0
1895,9.5,10.3,50.2,0,28.9,1.1,0,0
1896,9.4,10.1,50.1,0,29.4,1,0,0
1897,9.1,9.7,48.7,0,31.3,1.2,0,0.1
1898,8.9,9.6,47.6,0,32.6,1.1,0,0.1
1899,8.3,8.9,43.5,0,38,1.2,0,0.1
1900,8.2,8.8,44.4,0,37.2,1.2,0,0.1
1901,8.6,8.2,45.8,0,36,1.3,0,0.1
1902,8.3,7.9,45.9,0,36.3,1.4,0,0.2
1903,8.1,7.7,43.7,0,38.8,1.5,0,0.2
1904,8,7.5,42.6,0,40.1,1.5,0,0.3
1905,7.8,7.3,44.8,0,38.2,1.6,0,0.3
1906,7.5,7,43,0,40.6,1.5,0,0.3
1907,7.2,6.7,40.4,0,43.8,1.5,0,0.4
1908,7.1,6.6,38.3,0,45.6,1.9,0,0.5
1909,7.6,7,38.6,0,44.3,2,0,0.6
1910,7.1,6.6,41.1,0,42.8,1.8,0,0.7
1911,7.3,6.6,40.7,0,42.5,2.1,0,0.8
1912,7,6.8,38.5,0,45,1.9,0,0.8
1913,6.4,6.2,38.5,0,45.8,2,0,1
1914,6.6,6.3,40.3,0,44.1,1.6,0,1.1
1915,6.5,6.5,40,0,44.1,1.7,0,1.3
