year,"draught 
animal 
energy","human 
energy","humene 
for 
work","humene 
for 
final 
consump 
-tion ","total 
animate 
energy","fire-
wood 
house-
holds","fire-
wood 
industry ","fire-
wood 
service","fire-
wood 
power","total 
fire-
wood ","spent 
pulp- 
liquor ",coal, oil
1800,12.60,9.29,1.56,7.73,21.89,75.90,7.62,4.9,0,88.42,,0.234,
1801,12.70,9.33,1.57,7.75,22.03,75.63,7.85,5,0,88.44,,0.349,
1802,12.80,9.40,1.59,7.81,22.20,75.66,7.33,5,0,88.02,,0.222,
1803,12.90,9.47,1.60,7.87,22.37,75.66,7.87,5.1,0,88.62,,0.353,
1804,13.00,9.54,1.62,7.92,22.54,75.62,7.52,5.2,0,88.29,,0.428,
1805,13.13,9.61,1.64,7.98,22.74,75.66,7.79,5.2,0,88.67,,0.298,
1806,13.20,9.65,1.65,8.00,22.85,75.33,7.98,5.3,0,88.60,,0.569,
1807,13.30,9.69,1.66,8.03,22.99,75.14,7.01,5.3,0,87.49,,0.69,
1808,13.40,9.65,1.66,7.99,23.05,74.23,6.74,5.4,0,86.37,,0.925,
1809,13.50,9.57,1.65,7.92,23.07,73.01,4.41,5.5,0,82.88,,0.79,
1810,13.61,9.58,1.65,7.93,23.19,72.55,4.36,5.5,0,82.44,,0.559,
1811,13.70,9.65,1.67,7.98,23.35,72.47,4.74,5.6,0,82.80,,0.374,
1812,13.80,9.68,1.68,8.00,23.48,72.16,5.09,5.7,0,82.91,,0.445,
1813,13.86,9.71,1.69,8.02,23.57,71.78,5.15,5.7,0,82.65,,0.372,
1814,13.90,9.77,1.71,8.07,23.67,71.66,5.08,5.8,0,82.52,,0.335,
1815,13.97,9.88,1.73,8.15,23.85,71.90,5.4,5.8,0,83.15,,0.485,
1816,14.10,10.02,1.76,8.26,24.12,72.30,6.77,5.9,0,84.97,,0.573,
1817,14.20,10.12,1.78,8.34,24.32,72.43,6.85,6,0,85.25,,0.552,
1818,14.30,10.23,1.80,8.42,24.53,72.59,7.13,6,0,85.75,,0.394,
1819,14.40,10.29,1.82,8.47,24.69,72.46,7.58,6.1,0,86.13,,0.47,
1820,14.46,10.39,1.84,8.55,24.85,72.53,7.85,6.2,0,86.54,,0.458,
1821,14.52,10.50,1.87,8.64,25.02,72.69,7.34,6.2,0,86.25,,0.458,
1822,14.58,10.65,1.90,8.75,25.23,73.09,7.01,6.3,0,86.39,,0.469,
1823,14.64,10.83,1.94,8.89,25.47,73.68,7.56,6.3,0,87.58,,0.503,
1824,14.68,10.99,1.97,9.02,25.67,74.11,7.69,6.4,0,88.21,,0.511,
1825,14.71,11.17,2.01,9.17,25.89,74.70,7.78,6.5,0,88.95,,0.409,
1826,14.77,11.31,2.04,9.28,26.08,74.99,7.68,6.5,0,89.21,,0.514,
1827,14.83,11.41,2.06,9.35,26.24,74.98,7.06,6.6,0,88.64,,0.613,
1828,14.90,11.50,2.08,9.41,26.40,74.85,7.33,6.7,0,88.85,,0.441,
1829,14.95,11.57,2.10,9.47,26.52,74.65,6.21,6.7,0,87.58,,0.445,
1830,15.01,11.68,2.12,9.55,26.69,74.66,6.33,6.8,0,87.78,,0.655,
1831,15.06,11.73,2.14,9.59,26.79,74.35,6.45,6.8,0,87.65,,0.482,
1832,15.12,11.83,2.16,9.66,26.95,74.26,6.35,6.9,0,87.52,,0.487,
1833,15.18,11.98,2.20,9.78,27.16,74.53,6.18,7,0,87.69,,0.503,
1834,15.24,12.09,2.22,9.86,27.33,74.48,5.98,7,0,87.49,,0.68,
1835,15.29,12.26,2.26,10.00,27.56,74.86,6.61,7.1,0,88.57,,0.858,
1836,15.34,12.41,2.29,10.12,27.75,75.03,6.84,7.2,0,89.03,,0.767,
1837,15.40,12.48,2.31,10.17,27.88,74.76,6.87,7.2,0,88.85,,0.696,
1838,15.46,12.55,2.33,10.22,28.01,74.42,6.85,7.3,0,88.56,,0.864,
1839,15.52,12.62,2.35,10.27,28.14,74.12,7.23,7.4,0,88.71,,0.947,
